row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20240710_CVOL_mapp_01_82_blk.mzML Peak height,20240710_CVOL_mapp_01_82_006.mzML Peak height,20240710_CVOL_mapp_01_82_010.mzML Peak height,20240710_CVOL_mapp_01_82_008.mzML Peak height,20240710_CVOL_mapp_01_82_005.mzML Peak height,20240710_CVOL_mapp_01_82_015.mzML Peak height,20240710_CVOL_mapp_01_82_007.mzML Peak height,20240710_CVOL_mapp_01_82_014.mzML Peak height,20240710_CVOL_mapp_01_82_011.mzML Peak height,20240710_CVOL_mapp_01_82_003.mzML Peak height,20240710_CVOL_mapp_01_82_009.mzML Peak height,20240710_CVOL_mapp_01_82_013.mzML Peak height,20240710_CVOL_mapp_01_82_001.mzML Peak height,20240710_CVOL_mapp_01_82_002.mzML Peak height,20240710_CVOL_mapp_01_82_004.mzML Peak height,20240710_CVOL_mapp_01_82_012.mzML Peak height,20240710_CVOL_mapp_01_82_qc_pre_00.mzML Peak height,20240710_CVOL_mapp_01_82_qc_01.mzML Peak height,20240710_CVOL_mapp_01_82_qc_pre_02.mzML Peak height,20240710_CVOL_mapp_01_82_qc_04.mzML Peak height,20240710_CVOL_mapp_01_82_qc_03.mzML Peak height,20240710_CVOL_mapp_01_82_qc_02.mzML Peak height,20240710_CVOL_mapp_01_82_qc_pre_01.mzML Peak height,
11,301.0731611274596,0.42861518,,,,,,,,,,,0,0,95685.39,108408.375,77632.445,0,0,173792.72,148692.16,283738.0,153078.28,220023.08,190168.97,335627.6,252433.95,243130.4,426547.5,378010.1,397960.53,394218.12,359983.38,419308.78,467026.7,
12,283.06246699115854,0.42882633,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179635.34,400761.22,0,376657.38,0,385327.6,0,0,
13,151.94976366331156,0.42971095,,,,,,,,,,,93712.24,104072.71,134254.3,120192.86,69216.68,83619.586,83806.016,115739.12,177877.48,205585.48,162701.0,132814.83,167020.4,320022.47,120561.08,474709.4,463530.6,368721.47,403931.7,315231.06,327290.7,374120.53,439151.62,
14,149.95286117830986,0.43005347,,,,,,,,,,,171288.7,165713.81,238372.86,217068.16,127757.08,152093.14,147072.02,186746.22,310799.44,393609.62,269530.06,260950.0,263843.38,536460.0,207649.31,780898.0,713531.44,648184.7,730054.44,567403.5,557420.25,677921.06,731117.94,
15,215.0877412403581,0.43442538,,,,,,,,,,,0,668280.6,894118.25,1039896.25,850851.3,1485046.1,890195.7,1804095.5,1527400.6,2601175.8,1496352.6,2059906.2,1743379.5,2804669.8,1770972.9,2159255.5,3665849.2,3196398.8,3587922.5,3099878.5,2955928.2,3308260.2,3305799.8,
16,255.94411349746136,0.43484733,,,,,,,,,,,1122344.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,328.89781556341364,0.43484733,,,,,,,,,,,605100.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,344.87541339420534,0.43484733,,,,,,,,,,,769808.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,458.85581318911034,0.43484733,,,,,,,,,,,343194.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,231.06521727939756,0.43502492,,,,,,,,,,,0,215904.55,415854.12,211938.92,407248.78,220314.36,0,246641.8,198147.64,429142.88,224121.75,242828.98,246989.27,0,313597.22,310469.34,575130.94,0,511633.97,502820.22,465667.34,505541.44,617147.56,
21,214.91766848145608,0.435732,,,,,,,,,,,3689008.2,0,85834.04,0,65743.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,315.1876795122976,0.43948635,,,,,,,,,,,0,0,0,210934.11,168023.02,395491.88,137528.44,0,0,0,326553.06,880041.4,629129.06,1066502.1,512023.44,806426.5,1401801.1,1444444.6,1309666.4,1170376.5,1056069.9,1364130.8,1298192.2,
23,131.08392354935486,0.4419091,,,,,,,,,,,0,0,0,0,0,0,0,0,0,89405.94,0,0,0,0,0,91356.79,140002.58,152331.0,0,0,0,121463.43,139111.64,
24,147.12248405734303,0.44207144,,,,,,,,,,,0,0,71821.44,0,0,0,0,167406.94,135780.55,298588.84,121209.555,269244.34,191169.97,404228.12,187023.3,293685.62,485169.38,379355.9,0,470414.62,369400.78,437480.2,463689.38,
25,133.0972959043498,0.4462771,,,,,,,,,,,0,130015.28,149709.73,161807.19,153616.1,233095.48,131586.61,324647.3,362640.38,598218.25,258068.95,533741.25,412843.8,847474.25,324745.3,646709.4,1042351.56,947472.4,862738.1,776618.75,785903.5,915054.9,979629.75,
26,130.08646019119018,0.44680312,,,,,,,,,,,0,6482267.0,6798651.5,8530707.0,7491757.0,1.1494482E7,6482777.0,1.4798895E7,1.4948222E7,3.089632E7,1.1302293E7,2.3863146E7,1.9931966E7,3.8119316E7,1.6312628E7,2.7834478E7,4.5677756E7,4.403358E7,4.25241E7,3.8020732E7,3.6579484E7,4.5343292E7,4.6524544E7,
27,143.9968877346864,0.44687852,,,,,,,,,,,264718.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,167.01283933222643,0.44687852,,,,,,,,,,,607923.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,232.92818480431617,0.44687852,,,,,,,,,,,974883.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,129.10250443053565,0.4473155,,,,,,,,,,,0,338047.84,370676.62,481851.94,417423.8,607156.4,360852.84,797156.6,830024.25,1711058.2,612543.75,1390099.1,1071383.0,2032088.5,936335.5,1523033.5,2647017.8,2369156.8,2264202.5,2099373.5,2035998.0,2599307.2,2636068.8,
31,147.11290414731602,0.448894,,,,,,,,,,,55098.21,1.1684646E7,1.2231687E7,1.4596621E7,1.3233747E7,1.9046888E7,1.1248662E7,2.5562064E7,2.6259884E7,5.347267E7,2.0079276E7,4.1767376E7,3.4988304E7,6.795895E7,2.7965338E7,4.8632084E7,8.3769656E7,7.878784E7,7.592409E7,6.8106504E7,6.6060824E7,7.900449E7,8.496996E7,
32,147.10318480164477,0.4506415,,,,,,,,,,,0,0,68063.6,83998.3,82261.76,107766.14,64918.58,0,165507.55,323222.9,113084.9,0,202003.67,359865.4,0,278628.06,0,488290.62,495491.97,323726.12,389454.16,449329.22,0,
33,148.1099063964868,0.45132676,,,,,,,,,,,0,81968.61,91466.805,0,0,145547.06,79982.92,171963.55,175867.62,396295.72,154085.14,285391.66,249163.95,484845.66,194164.16,368455.2,634926.4,567255.75,613908.56,478961.9,423568.34,570799.8,634049.44,
34,156.07682707673072,0.45501524,,,,,,,,,,,0,0,571957.75,498512.44,494175.7,0,0,0,0,1616805.9,0,953473.75,0,1689292.8,0,1289801.2,1869322.2,1725217.4,1711618.1,1573459.2,1438890.6,1780868.4,1859832.9,
35,169.0948098433147,0.45533895,,,,,,,,,,,0,752325.7,770809.06,1003930.06,726524.5,1211666.1,842865.06,1349610.8,1657979.9,2999611.5,1583122.6,1882150.4,2178795.0,3203614.0,1979615.4,2414211.5,2878722.8,2997528.0,2749340.2,2777389.0,2651074.8,2747036.5,2971138.0,
36,148.11601301766754,0.45616096,,,,,,,,,,,0,767842.0,818416.1,975727.56,891816.25,1309369.0,787237.0,0,1774453.9,0,1330948.5,0,0,0,0,0,0,0,0,0,0,0,0,
37,266.92733238567945,0.4644327,,,,,,,,,,,371538.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,282.9049692010612,0.4644327,,,,,,,,,,,698379.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,156.04216343683598,0.46650687,,,,,,,,,,,410418.53,516798.7,444239.44,372868.3,451402.16,301280.3,405317.16,247745.28,237834.53,0,298898.22,162198.84,193886.2,0,0,118619.2,66709.336,0,0,84358.88,0,66276.3,55865.566,
40,197.10097410644218,0.47442687,,,,,,,,,,,0,302530.3,311537.78,415301.38,317162.7,410905.47,334740.84,496180.22,451430.84,942789.06,444113.84,593950.6,718027.44,964269.2,633751.75,664006.94,905615.0,944495.2,869772.2,836325.8,775688.25,854932.94,1009965.3,
41,152.94707319559706,0.47676572,,,,,,,,,,,368657.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,185.06870431325675,0.4799024,,,,,,,,,,,0,1570559.0,1338424.9,1771175.6,1696335.2,2232808.8,1533352.2,2785681.2,2863625.2,4210541.0,2349292.2,3415817.0,3144897.5,5499915.0,2617211.8,3941293.0,6449881.0,6087755.0,6545111.0,5239313.5,5392799.5,5850268.0,6738768.5,
43,207.05065005725302,0.48142168,,,,,,,,,,,0,1167929.2,1159503.0,1645275.6,1166224.0,1710601.2,1339168.2,1987176.5,2506667.2,4217493.0,2301222.2,2544618.0,2805007.0,4653633.5,2835912.0,3504578.5,4431385.0,4238826.0,4423582.0,3969734.2,4039262.8,4221062.5,4507982.5,
44,358.999235760419,0.4821121,,,,,,,,,,,0,0,188895.72,262325.75,147201.16,269932.47,199278.98,286500.75,464359.78,883064.9,484230.25,401507.1,548611.94,833977.5,604934.6,698586.2,673778.25,659066.44,641872.3,577883.9,578855.9,646321.0,640224.4,
45,475.07337141552216,0.48239952,,,,,,,,,,,0,0,99658.555,177155.17,0,219413.08,139550.55,270805.56,375643.66,559953.7,286732.4,424905.12,436905.97,701754.56,317173.72,498008.8,795042.4,710842.25,687776.94,629676.4,647927.4,752822.3,756257.9,
46,407.08604655371187,0.48481646,,,,,,,,,,,0,220425.83,128569.06,229884.72,206906.55,311913.38,211409.9,447160.1,422154.28,602029.6,293673.62,566813.06,480782.38,749348.8,325848.38,519428.88,1064481.4,938346.6,947233.2,773036.7,891020.4,925075.6,977284.5,
47,374.97327075297767,0.48720485,,,,,,,,,,,0,593646.0,432082.8,784862.1,569884.1,1094504.5,699897.8,1289674.8,1375457.6,2213073.5,1341097.5,1673526.1,1688612.0,2346782.2,1560299.0,2205178.0,2122919.2,2182422.2,2115924.8,1961283.6,1895289.5,2026544.4,2013520.6,
48,223.02452840258863,0.48819247,,,,,,,,,,,0,4539962.5,3082826.5,5231463.0,4577152.5,7375637.5,4687699.0,9065953.0,8234674.0,1.2683701E7,7139713.5,1.1988285E7,9443856.0,1.5465323E7,8038253.5,1.2519223E7,1.6141099E7,1.5441839E7,1.6069731E7,1.4789021E7,1.4562805E7,1.5457389E7,1.6217262E7,
49,291.0118667972465,0.48822495,,,,,,,,,,,0,432464.6,333396.3,540171.56,395093.38,660866.6,450598.06,696309.6,855710.8,1488851.8,874562.0,1056505.6,1027733.1,1592503.6,1037494.06,1335407.8,1539717.0,1480841.6,1386745.4,1321764.4,1234191.8,1404266.6,1463547.8,
50,390.9471867531043,0.4886804,,,,,,,,,,,0,816620.5,402924.7,925493.8,767054.3,1647108.9,830269.9,2170165.2,1540482.0,2113142.8,1436091.2,2652140.2,1814612.4,2449199.5,1468418.5,2577374.2,2652634.0,2609402.2,2555658.8,2236781.5,2320034.5,2427896.2,2401111.2,
51,190.9118365016564,0.4897066,,,,,,,,,,,0,243532.39,179195.72,319848.66,232917.72,484188.62,296410.6,525677.56,455371.06,821939.5,506828.78,667453.25,577227.44,682388.4,630128.4,846141.44,508215.25,569331.25,528009.94,492777.06,507015.78,499904.22,593009.56,
52,274.8731890783275,0.4901592,,,,,,,,,,,0,855114.75,625857.1,1131686.5,788231.4,1813552.9,1035887.6,2076811.1,1641485.1,2758367.2,1949420.5,2445419.0,2251319.0,2496268.8,2313364.2,3138528.5,1911347.8,1884551.4,1867993.0,1896396.4,1724739.5,1819594.5,1836553.9,
53,276.87126409159083,0.4901592,,,,,,,,,,,0,183047.5,119764.98,227366.19,171593.84,375795.84,231913.2,430372.72,376095.9,592280.56,411814.0,512498.5,480723.6,475863.38,502030.53,719183.5,386882.0,384122.97,376511.16,382825.84,377190.78,421854.53,385460.28,
54,292.84514648118835,0.4901592,,,,,,,,,,,0,511472.34,253550.67,566214.3,452905.22,1126485.1,541566.2,1413729.9,784328.7,1100484.5,836016.4,1594830.0,1066900.8,999924.3,935671.94,1481703.0,850947.25,928867.3,871023.44,818339.44,812838.8,826630.7,857383.1,
55,306.9858388065468,0.4901592,,,,,,,,,,,0,838416.75,451679.94,878080.1,735066.1,1416314.1,813287.94,1827736.2,1435201.5,2011310.9,1238455.4,2140695.2,1639383.0,2383524.8,1340891.9,2238129.8,2584973.5,2531783.2,2430132.5,2346051.2,2229942.8,2414721.8,2494571.2,
56,392.94548011304033,0.4901592,,,,,,,,,,,0,255327.62,117015.734,257287.77,206432.95,489680.5,238127.05,644553.44,438367.06,662096.9,404992.28,766077.6,531990.4,700050.3,439035.66,738415.5,743381.25,735150.06,730320.1,645721.3,677402.94,691392.94,684735.94,
57,208.883925866701,0.49018735,,,,,,,,,,,0,227634.56,124449.2,257329.45,213174.23,516746.7,241897.22,604196.1,376154.16,497573.03,362198.16,701244.44,525414.9,494691.7,403584.1,686526.2,440844.16,415436.34,395238.7,444492.44,410567.2,400354.1,446348.44,
58,458.7698064463759,0.49040663,,,,,,,,,,,0,161824.86,0,0,117943.72,367095.38,152615.58,482487.97,210952.44,0,230617.42,474376.5,281422.25,222485.02,216241.27,366031.78,0,196811.88,184885.39,180051.66,201671.64,187207.08,177784.86,
59,122.92469293245286,0.49065888,,,,,,,,,,,0,676814.0,409186.78,809292.0,634926.2,1443532.6,720033.06,1637573.4,1156786.6,1847664.4,1153856.8,1979994.5,1562866.5,1613146.9,1432318.0,2022747.9,1462570.8,1339916.4,1426820.5,1529606.6,1316053.8,1341714.6,1432124.6,
60,290.8471484260281,0.49115735,,,,,,,,,,,0,1878369.5,835570.4,1949225.5,1547856.1,3977678.0,1880501.5,4925414.0,2675690.0,3765673.5,2885052.8,5418679.5,3750020.8,3569924.2,3287753.0,5247307.0,2937335.5,3080601.8,3058595.5,3045029.8,2813904.8,2944752.2,2875945.8,
61,206.8858872663033,0.49167556,,,,,,,,,,,0,1066179.1,577021.75,1185921.1,975940.3,2435628.5,1132700.4,2907457.0,1736114.9,2497761.8,1813270.9,3411379.8,2364378.8,2238032.0,2009799.6,3177389.8,1912463.9,2002507.8,1997923.9,1994883.5,1848559.8,1922331.2,1982330.2,
62,235.05675132060296,0.4917349,,,,,,,,,,,0,496538.16,456630.72,675561.5,532433.4,733473.1,604529.75,773531.7,884180.56,1630725.8,843291.1,972412.56,1138960.8,1775064.1,1180875.8,1209773.1,1540717.0,1562652.9,1555221.8,1468545.0,1442354.9,1430191.1,1498760.6,
63,334.99203571308794,0.49264824,,,,,,,,,,,0,293496.84,136479.16,302590.3,258560.36,520444.38,283711.53,608779.7,373658.03,642899.0,332326.8,714866.56,568484.25,741985.1,490394.47,620249.0,718771.7,670586.1,736703.8,661408.94,620786.56,651012.7,719053.6,
64,220.9345176354899,0.49489298,,,,,,,,,,,864866.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,226.9514878916903,0.49489298,,,,,,,,,,,305199.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,288.9214506296796,0.49489298,,,,,,,,,,,590378.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,251.03066792205726,0.49561727,,,,,,,,,,,0,1891735.6,1068901.2,2047168.5,1826503.2,3131120.2,1900030.9,3709821.8,2693791.5,4780104.0,2421976.8,4554682.5,3698422.2,5523615.0,3219551.8,4343026.5,5336335.0,5321261.0,5448909.0,5125075.5,4762476.5,5209966.0,5554654.0,
68,213.0748285401607,0.49711654,,,,,,,,,,,0,3839756.5,2779943.2,4314357.5,3906153.0,5462204.0,3983846.8,6270882.0,5558819.0,1.0462555E7,5039579.5,8001674.0,7210055.5,1.3014995E7,6576557.5,8478328.0,1.4089271E7,1.2734204E7,1.3296793E7,1.188493E7,1.1647149E7,1.2474522E7,1.3815246E7,
69,196.04831754314156,0.4976328,,,,,,,,,,,0,224943.45,151126.11,270778.84,229591.97,353182.56,262063.78,382580.44,375052.8,633047.75,310096.84,492874.88,469143.22,747911.7,409868.75,543251.06,792531.25,761152.8,791795.4,730465.94,780327.1,781629.8,778441.75,
70,197.03236239360302,0.50074196,,,,,,,,,,,0,2058762.8,857943.06,2453533.2,2234053.0,4832136.5,2278820.5,6030989.0,2518538.2,5614846.0,2387134.8,7281204.0,4596293.0,6356706.0,3896427.0,4597343.5,8046632.5,7596487.0,7682271.5,7006700.0,6680665.5,7255815.5,7878322.5,
71,334.9147967064004,0.5039697,,,,,,,,,,,230658.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,350.89221540281045,0.5039697,,,,,,,,,,,360828.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,195.97735446421282,0.52641565,,,,,,,,,,,0,1870245.5,1038197.06,2360341.8,1752826.6,4371997.0,2126127.5,5446228.0,3878202.8,6186881.5,3697760.5,6395364.5,5432582.5,7144069.0,4459318.5,7406438.0,6795498.5,6305470.5,6134934.5,5941381.5,6367592.0,6410794.0,6391387.5,
74,180.00328940494282,0.5298126,,,,,,,,,,,0,544246.6,431429.72,753820.06,535661.8,937741.7,667812.0,1086791.8,1067136.8,2049526.8,1257374.2,1370898.8,1555114.0,2056717.9,1516776.1,1904477.9,1733277.1,1665247.5,1695833.8,1449042.9,1562356.9,1589520.4,1719232.1,
75,176.12227130613002,0.53004825,,,,,,,,,,,0,1266064.1,1050150.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6371775.0,0,0,0,6622172.5,
76,222.98823545579444,0.5307552,,,,,,,,,,,0,534369.75,201443.81,643576.1,497338.4,1309497.8,555751.1,1718116.5,764643.3,1429742.2,763297.0,1901600.0,1426923.5,1768520.6,1188958.0,1564395.0,1860411.2,1752012.0,1753131.2,1591361.6,1679069.6,1667770.0,1793277.1,
77,141.06594413897957,0.53111553,,,,,,,,,,,0,1427919.9,657646.2,1562176.5,1555413.1,2339280.5,1480690.5,2938499.5,1317540.1,2814962.0,1284747.2,3872364.2,2315914.0,3507784.8,2067840.5,2183300.2,4567955.0,4353764.0,4323270.0,3940558.5,3991013.8,4160673.0,4582583.0,
78,159.0764725063332,0.5322659,,,,,,,,,,,0,1865712.2,858911.9,2025097.4,1984090.9,3130586.0,1948971.6,3957513.8,1741235.1,3659365.5,1694832.5,5124839.0,3160039.5,4724913.0,2678934.0,2958196.0,6162790.0,6063832.5,5932899.0,5262029.0,5086416.0,5764517.0,6396784.5,
79,223.9722185199819,0.53832173,,,,,,,,,,,0,532626.8,239962.66,633292.56,530943.1,1322586.6,591349.5,1600531.9,1017940.0,1529960.6,975981.75,1910409.8,1416785.1,1868386.2,1103389.0,1748513.0,1840565.9,1625837.8,1715152.2,1735920.2,1695938.1,1718536.2,1773436.9,
80,175.11905821050277,0.5431653,,,,,,,,,,,0,0,0,2.3162988E7,2.1616038E7,3.3410806E7,2.3469634E7,4.2077816E7,3.481371E7,7.032509E7,3.1314744E7,5.9305492E7,5.139223E7,9.779428E7,4.5210492E7,5.7400224E7,1.0299417E8,9.917915E7,1.01386E8,8.746427E7,8.8569464E7,9.681306E7,1.0448118E8,
81,131.11805380354565,0.5438816,,,,,,,,,,,0,443692.88,144921.64,408778.75,390358.97,519653.44,426229.8,644108.1,219782.38,450306.78,217056.42,736845.1,309889.5,593504.56,308549.0,365604.7,888976.75,847350.7,861269.8,748195.9,695256.25,777864.06,881400.0,
82,131.08416968541727,0.544811,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,58441.66,0,0,86314.37,0,0,0,0,67433.02,0,
83,147.10304793062016,0.5448128,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,91593.45,110849.38,0,0,0,152039.98,0,0,0,0,0,0,279278.53,
84,255.09752704245432,0.54697776,,,,,,,,,,,0,438243.0,353707.28,347392.1,395412.34,560407.1,445673.28,743652.75,716599.94,825991.0,644260.75,820499.56,782769.6,1117020.9,730459.0,864367.3,903028.5,777101.06,867668.6,720614.44,817945.25,839718.25,898470.75,
85,148.10968708586773,0.548623,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,292323.16,0,0,0,0,0,0,0,0,0,
86,296.06596070785366,0.5503024,,,,,,,,,,,0,271207.12,468164.12,368559.06,258389.31,324671.78,286897.62,398875.84,683436.7,849003.25,732003.2,452833.12,673062.9,1176903.0,729044.94,1004985.0,916651.75,820280.3,850020.44,770410.75,859624.0,829544.8,980281.9,
87,147.12224620522636,0.5505595,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,121384.69,0,0,0,0,0,0,187095.47,0,0,0,0,
88,185.03235383393144,0.55073,,,,,,,,,,,0,1180263.9,508499.53,1602620.6,1294096.1,3834484.8,1326679.4,5686815.0,2508875.8,6373406.0,2492344.0,6901761.5,5042376.0,8041337.5,3994561.5,6327016.0,8073184.0,7498007.5,7850396.0,6350798.5,6871990.0,7546079.0,8153746.0,
89,140.0682456263584,0.5513737,,,,,,,,,,,660452.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,156.07682780759845,0.55431694,,,,,,,,,,,0,464591.78,0,0,0,599172.75,528636.2,733879.5,905554.44,1590919.6,805766.44,955630.2,1113278.0,2012739.0,1014235.9,1389415.4,1959148.2,1876815.4,1889660.4,1636347.9,1608630.4,1819301.4,2117651.5,
91,169.05846792531347,0.5581121,,,,,,,,,,,0,406596.53,246364.4,572619.2,429196.44,822775.6,451876.34,847221.7,732668.2,1574147.1,690842.44,1076075.0,1072244.5,1581308.1,1144365.5,1258051.8,1375808.6,1366994.1,1386715.8,1270679.9,1294284.8,1346982.6,1483312.1,
92,186.01637248282037,0.56053305,,,,,,,,,,,0,387111.1,200809.88,421660.25,383562.56,915455.75,398463.16,1084224.0,700856.94,1216446.0,750058.06,1281928.8,1033113.5,1520571.9,791643.75,1320792.5,1485401.1,1257168.0,1380767.8,1132609.1,1341376.6,1254665.8,1419984.8,
93,170.0424856310829,0.56643265,,,,,,,,,,,0,353870.84,263688.9,450182.84,350888.0,535564.5,374964.38,480105.22,535359.56,927742.06,617753.8,646854.6,667691.0,839481.25,716514.4,773899.4,796590.94,703292.06,777798.9,678925.2,767639.1,725728.44,784529.7,
94,148.07949256320802,0.56655645,,,,,,,,,,,0,0,0,0,0,523243.66,0,0,0,0,0,720148.75,0,0,0,0,0,0,0,0,0,0,0,
95,276.998631478388,0.5672853,,,,,,,,,,,0,314406.84,151530.66,413642.88,316285.84,833871.94,305716.2,1138094.5,666087.25,1279214.1,559540.06,1425115.1,975179.44,1522778.8,719299.4,1256928.5,1777394.4,1692449.0,1779676.9,1669474.6,1709903.1,1681108.1,1959268.0,
96,188.07407387811057,0.5674206,,,,,,,,,,,0,227834.94,164774.1,244293.36,204551.47,339954.84,193309.0,374234.66,291090.16,423920.88,265336.12,480412.84,370357.8,465267.44,330185.7,444637.97,486586.1,455045.34,522594.7,442099.53,515052.03,467987.8,551110.25,
97,120.06583817887467,0.567822,,,,,,,,,,,0,716767.75,528263.1,922083.8,732809.75,1942116.5,781229.44,2303325.2,1689166.0,3881387.8,1555145.4,3451701.0,2677793.2,4174709.0,2214001.8,3293520.5,4724634.5,3841551.2,4292161.0,4008532.8,3816334.2,4360863.5,4844643.0,
