cluster index	parent mass	RTMean	ATTRIBUTE_sample_group:GNPSGROUP:WT	ATTRIBUTE_sample_group:GNPSGROUP:sDelta	ATTRIBUTE_sample_group:GNPSGROUP:pDelta	ATTRIBUTE_sample_group:GNPSGROUP:psDelta	ATTRIBUTE_sample_group:GNPSGROUP:blank	ATTRIBUTE_sample_group:GNPSGROUP:qc	component	#Scan#	Compound_Name
79	223.9722185199819	0.53832173	1479630.225	572052.99	995599.3525	1611176.1	0.0	1729341.0428571429	-1		
80	175.11905821050277	0.5431653	66180523.0	17062165.0	30882169.5	44931371.333333336	0.0	97269613.42857143	8	80.0	Spectral Match to L-Arginine from NIST14
81	131.11805380354565	0.5438816	415562.46	417265.1	236841.28500000003	633535.5466666667	0.0	814330.4942857142	14		
82	131.0841696854173	0.544811	14610.415	0.0	0.0	0.0	0.0	21963.91285714286	14		
83	147.10304793062016	0.5448128	0.0	0.0	60908.3575	36949.793333333335	0.0	39896.93285714286	6		
84	255.09752704245432	0.54697776	864060.125	406680.18	644733.8175	708186.4700000001	0.0	832078.1214285714	2		
85	148.10968708586773	0.548623	73080.79	0.0	0.0	0.0	0.0	0.0	6	85.0	Glutamic acid
86	296.06596070785366	0.5503024	857003.5225	296263.2775	722147.2549999999	392126.9133333334	0.0	860973.42	17		
87	147.12224620522636	0.5505595	0.0	0.0	0.0	40461.56333333333	0.0	26727.924285714285	6	87.0	L-(+)-Lysine - 40.0 eV
88	185.03235383393144	0.55073	5862920.25	1350915.0	2959183.8325	5474353.766666667	0.0	7477743.0	-1	88.0	Spectral Match to Phosphocholine from NIST14
89	140.0682456263584	0.5513737	0.0	0.0	0.0	0.0	660452.9	0.0	33		
90	156.07682780759845	0.55431694	1432793.125	248306.995	775184.07	762894.15	0.0	1843936.4571428571	6	90.0	Spectral Match to L-Histidine from METLIN
91	169.0584679253135	0.5581121	1343016.3	465072.1275	731981.71	915357.4333333332	0.0	1360682.5571428572	2	91.0	PYRIDOXAL - 30.0 eV
92	186.0163724828204	0.56053305	1140443.7875	397699.2675	743129.345	1093869.5166666666	0.0	1324567.6	-1		
93	170.0424856310829	0.56643265	787857.1775	382476.515	547675.415	554174.7733333333	0.0	747786.3342857143	-1		
94	148.07949256320802	0.56655645	0.0	0.0	0.0	414464.13666666666	0.0	0.0	6	94.0	Glutamic acid
95	276.998631478388	0.5672853	1124117.935	337512.94	658521.6175	1132360.5133333334	0.0	1752753.4428571428	59	95.0	ReSpect:PT105020 L-saccharopine|epsilon-N-(L-glutar-2-yl)-L-lysine|N6-(L-1,3-dicarboxylpropyl)-L-lysine|(2S)-2-[[(5S)-5-amino-6-hydroxy-6-oxohexyl]amino]pentanedioic acid
96	188.07407387811057	0.5674206	397432.955	217497.1925	291459.5875	398200.78	0.0	491496.53571428574	2		
97	120.06583817887469	0.567822	3236972.95	788222.6849999999	1766523.75	2565714.2333333334	0.0	4269817.171428571	7	97.0	THREONINE
98	265.02312664673263	0.5691755	0.0	0.0	0.0	0.0	1184275.6	0.0	28		
99	147.07668486076602	0.5692322	11256805.625	3848667.675	5843978.85	11021649.0	0.0	15523183.714285716	6	99.0	Glutamate - 70.00 eV
100	130.05017311370992	0.5707168	16300065.5	5936802.125	9371246.925	15732776.0	0.0	21370814.85714286	6		
101	277.13945870741986	0.5707753	1041096.9875	254213.78000000003	574977.48	590823.8433333333	0.0	1708486.7857142857	59	101.0	ReSpect:PT105020 L-saccharopine|epsilon-N-(L-glutar-2-yl)-L-lysine|N6-(L-1,3-dicarboxylpropyl)-L-lysine|(2S)-2-[[(5S)-5-amino-6-hydroxy-6-oxohexyl]amino]pentanedioic acid
102	292.1979269755847	0.5710357	88107.31875	216516.2125	197556.925	138519.31000000003	0.0	78510.78357142858	-1		
103	148.0729105512663	0.57277817	241868.13	90025.63625	147321.142	229119.48	0.0	334637.0428571429	6	103.0	Glutamic acid
104	148.0604932570877	0.5750869	28144033.0	10728486.75	17863930.5	26262879.33333333	0.0	36188458.0	6	104.0	Glutamic acid
105	149.06379944648654	0.5750997	293237.75	316606.385	264207.05	0.0	0.0	2066296.7285714287	14		
106	249.04605745303	0.57542527	0.0	0.0	13836.74425	0.0	398972.8	0.0	28		
107	399.1447368916848	0.57580495	1524244.1375000002	378967.7275	858182.3325	595223.9333333332	0.0	1931383.4857142852	20	107.0	S-ADENOSYLMETHIONINE
108	219.02661407900865	0.57734925	1806740.875	483317.4825	1826290.55	1636982.8333333333	337681.75	1802579.4714285715	32		
109	184.07339934265025	0.5782038	16397.6575	18587.515	1041110.675	1590963.6	0.0	1235329.9142857145	12	109.0	PHOSPHOCHOLINE
110	309.13795403108	0.57984585	1643972.15	1116147.91	1252529.225	1694335.2	0.0	1955207.2857142852	7		
111	258.11023739388	0.58061004	1734132.35	524461.1749999999	1065603.5	623624.6	0.0	1898382.1857142856	17	111.0	SN-GLYCERO-3-PHOSPHOCHOLINE
112	239.04283578075447	0.58153385	4258896.475	1770850.925	2709678.975	4021416.4333333336	0.0	6479328.714285715	4		
113	381.0793466599176	0.58925194	913219.43	221236.5125	460867.3675	698249.0633333334	0.0	1369132.0285714285	2		
114	217.12960475758427	0.59223574	790491.6150000001	194187.7575	470559.4425	415363.9866666666	0.0	1018467.3357142856	-1	114.0	Spectral Match to N-.alpha.-Acetyl-L-arginine from NIST14
115	203.05266408624465	0.59369534	1008868.8	430624.3725	1170001.9	718597.2200000001	5700782.0	823789.2257142857	2	115.0	Aspartic_Acid_C4:0
116	365.1057089872397	0.5976796	214026.165	112336.725	177473.405	175143.58	404924.5	273553.16	-1	116.0	NCGC00381184-01_C15H20O9_
117	133.05976430359888	0.6025892	4650483.075	1336717.875	3607638.4	4000294.0666666655	0.0	7293165.428571428	16		
118	144.04786881279412	0.60335463	1200298.4125	571410.1	640074.56	832001.1866666666	0.0	1309235.4	2	118.0	Spectral Match to 5-(2-Hydroxyethyl)-4-methylthiazole from NIST14
119	335.0637335143854	0.60501087	1003427.715	245355.95	565187.825	736165.6166666666	0.0	1278974.3142857144	2	119.0	NICOTINAMIDE MONONUCLEOTIDE
120	122.07140804544508	0.60587186	1272628.8	914162.8375	971441.325	1306286.6666666667	0.0	1460782.0	15		
121	173.09223414030987	0.60597533	719411.0625	137404.5725	275647.3265	530956.66	0.0	990838.5614285714	6		
122	180.0866952659367	0.6089297	191220.225	138045.65500000003	290706.315	197024.42	384084.34	209552.83	19	122.0	MANNOSE
123	198.0972397006992	0.6121948	497997.87750000006	330919.16750000004	688246.2525	511556.1066666666	1089550.5	484004.1042857143	-1	123.0	Spectral Match to D-Fructose from NIST14
124	265.1118371288871	0.616779	30615875.5	13377015.75	18006341.5	23747920.666666668	0.0	31793288.285714287	27	124.0	Spectral Match to Thiamine cation from NIST14
125	146.16531656168894	0.61913854	330109.515	166821.84	227337.425	81582.17666666667	0.0	381240.9	32		
126	133.56158200492206	0.619548	157503.825	49425.27	284330.73	215490.25	0.0	259285.52857142856	16	126.0	thiamine CollisionEnergy:102040
127	360.1501533435028	0.6266896	84147.68474999999	154455.8815	121712.02125	128686.17833333332	256231.33	106849.27142857142	19	127.0	Spectral Match to Palatinose from NIST14
128	227.0793404891072	0.63621825	1087793.2	644288.095	882262.9425	1679552.6333333335	0.0	671000.7271428573	-1		
129	211.1054684715284	0.6402612	193130.635	172634.1225	196990.3575	269426.5633333333	0.0	82844.45571428571	-1		
130	170.0812435930181	0.64966714	413404.995	135214.6575	358460.345	282264.5966666667	69332.11	554435.7671428572	-1		
131	162.07613306805095	0.6511234	7254940.125	1487233.1	3766598.715	5647192.899999999	0.0	9419630.785714284	7	131.0	Massbank:PR100306 O-Acetyl-L-homoserine|Ac-HSer|(2S)-4-(acetyloxy)-2-aminobutanoic acid
132	249.108220849736	0.6528377	633502.9675	104036.061	217727.345	448990.8033333333	0.0	1207641.1	7	132.0	ReSpect:PM017302 gamma-L-Glutamyl-L-valine
133	193.0681512957	0.66081923	725434.855	77791.53149999998	335587.0375	385651.46	0.0	893618.3657142858	-1	133.0	Spectral Match to S-(5'-Adenosyl)-L-homocysteine from NIST14
134	664.1168967851177	0.6612634	861798.96	124379.94875	383242.685	524069.0566666666	0.0	1561469.8142857142	2	134.0	NAD
135	189.123440035802	0.661932	18349480.25	2774132.95	7950534.25	13498101.0	0.0	25874668.285714287	-1	135.0	AC-LYS-OH - 30.0 eV
136	256.0816128559832	0.6636678	1299152.175	206717.295	691854.43625	721382.0533333333	0.0	1593743.3714285714	2		
137	385.1288767677508	0.66370046	1887015.925	177311.3125	865592.315	985709.2066666668	0.0	2237891.5285714287	49	137.0	S-(5'-ADENOSYL)-L-HOMOCYSTEINE
138	386.0262922415834	0.66483057	595538.99	68754.228	316970.86	447728.97666666674	0.0	589954.2714285714	49	138.0	S-(5'-ADENOSYL)-L-HOMOCYSTEINE
139	269.16090822047533	0.6675923	444653.195	74158.98250000001	214662.4985	251501.14	0.0	522894.4714285714	6	139.0	Spectral Match to His-Ile from NIST14
140	348.0704411335644	0.67147744	10956463.375	1685052.225	6100699.425	6995715.5	0.0	15420150.714285716	2	140.0	adenosine 5'-monophosphate
141	208.06384177040468	0.6730146	705729.7625	37314.542	477505.76	284118.1066666667	0.0	770885.4642857142	-1		
142	332.56193520695524	0.6742624	1189185.49	503296.0425	754470.3099999999	867210.5866666666	0.0	2160750.242857143	-1	142.0	Spectral Match to .beta.-Nicotinamide adenine dinucleotide from NIST14
143	133.05981339469994	0.6844863	0.0	328624.475	0.0	0.0	0.0	0.0	16	143.0	thiamine CollisionEnergy:102040
144	122.07140350222603	0.6844888	0.0	0.0	169113.4375	0.0	0.0	0.0	15		
145	265.11201917964604	0.6844888	0.0	0.0	3480841.75	0.0	0.0	0.0	27	145.0	Spectral Match to Thiamine cation from NIST14
146	225.1233183232995	0.6910378	596864.5175000001	24487.7925	322485.64	279251.9533333333	0.0	525941.6242857144	2		
147	144.0478817697961	0.6916764	0.0	0.0	108896.175	0.0	0.0	0.0	2		
148	298.9932025490041	0.69696987	390844.49	18261.14	160844.5475	221059.2933333333	0.0	566725.8971428571	-1		
149	174.89609394028537	0.6999878	477161.67999999993	30294.30625	266174.85	383616.94333333336	0.0	472207.9542857144	8	149.0	Spectral Match to L-Arginine from NIST14
150	213.1234841618221	0.70026994	1093518.05	187200.4775	400676.17425	968149.4866666668	0.0	1567898.642857143	6		
151	123.0555989565314	0.7200533	454812.2125	0.0	320396.5525	251887.85333333336	61839.92	747496.7857142856	2		
152	133.0321293944646	0.7381499	1395174.15	182413.13375	1042533.975	1191091.1333333335	0.0	1756247.0142857146	16		
153	150.05858169349847	0.7381499	4142818.925	541693.9299999999	3060719.3	3447484.6666666665	0.0	5292336.214285715	7	153.0	L-methionine CollisionEnergy:102040
154	308.09146916854974	0.750326	36431840.0	3709314.1	17899351.25	22528067.666666668	0.0	51289745.71428572	7	154.0	GLUTATHIONE REDUCED
155	346.0474475379273	0.7525022	3261436.9000000004	161263.689	1463418.0920000002	2097518.233333333	0.0	3845468.214285714	2		
156	330.0735047119611	0.7526583	1088922.15	255639.89	637903.34	735784.7999999999	0.0	1008105.2057142856	2		
157	227.1393380189349	0.76007766	635754.385	98660.37425	505109.92	406042.5999999999	0.0	785682.5542857143	2		
158	137.04602428704231	0.7652039	7092959.5	1991845.875	4636655.525	7912869.166666667	0.0	8277867.571428572	2	158.0	Spectral Match to Hypoxanthine from NIST14
159	225.1235949116284	0.76549226	2419044.1	343156.29	1592310.24	1642888.683333333	0.0	2407731.5857142857	2		
160	148.04307063353167	0.7666405	388954.11	13794.13375	193837.0425	498244.32	0.0	401125.3057142856	57	160.0	Spectral Match to L-Glutamine from NIST14
161	175.10806001976542	0.7669347	321058.47	19836.745	114093.05	62471.85	0.0	419661.5842857143	8	161.0	ARGININE
162	307.0834200075764	0.76755375	882796.645	129188.5325	487207.0225	432584.17	0.0	1932461.057142857	-1	162.0	Glutathione
163	124.03967446311852	0.7684775	2181886.0	341670.77	1661676.375	1823341.3333333333	0.0	2630074.471428572	2	163.0	nicotinic acid CollisionEnergy:102040
164	194.08484373736724	0.76983035	3253610.95	446506.775	2408275.2575000003	2207445.2666666666	0.0	4462289.242857142	7		
165	251.0699803115276	0.7705094	776308.235	95132.27075	334184.305	688403.63	0.0	1025668.3142857144	7	165.0	Spectral Match to .gamma.-Glu-Cys from NIST14
166	364.0656900868494	0.7841255	963239.225	120809.52	604049.6925	587744.4566666667	0.0	1340807.3857142858	2	166.0	Guanosine monophosphate - 40.0 eV
167	182.08141081488995	0.7881251	2878803.725	401564.2325	983036.95	810512.4	0.0	1371895.142857143	6	167.0	Spectral Match to L-Tyrosine from NIST14
168	190.07115937782456	0.78932095	225658.115	0.0	222658.53	59862.246666666666	0.0	795035.0714285715	-1		
169	165.05476145924206	0.792112	371820.585	49829.84775	0.0	0.0	0.0	0.0	6	169.0	Spectral Match to L-Tyrosine from NIST14
170	309.1380436214402	0.7948741	0.0	0.0	0.0	0.0	0.0	435195.4514285714	7	170.0	Glutathione - 40.0 eV
171	148.09693105398148	0.8030808	0.0	100646.496	518086.6975	0.0	0.0	296033.8571428572	57	171.0	L-(+)-glutamine - 40.0 eV
172	132.10220008860935	0.8062137	3947224.5	381636.35	0.0	823889.6	0.0	5538273.285714285	6		
173	362.99942892444	0.806763	159434.925	0.0	118266.015	99855.18666666666	0.0	459912.6285714287	-1		
174	157.02460312777055	0.80830365	243286.23	159698.40499999997	160445.0875	298312.0966666667	0.0	281242.2585714286	2		
175	144.0479524323325	0.81052846	460267.385	0.0	217116.0625	0.0	0.0	820758.782857143	2		
176	159.07657694938663	0.8134718	110984.6325	0.0	151846.91499999998	0.0	0.0	0.0	4		
177	141.0660040954004	0.8148979	0.0	0.0	65404.325	0.0	0.0	0.0	4		
178	284.09914618820346	0.81502765	583933.0825	30065.38	117678.525	616967.2999999999	0.0	867923.9428571428	2	178.0	Massbank:KO008966 Guanosine
179	268.1037013542023	0.8182887	0.0	2464609.0	263831.95	0.0	0.0	0.0	2	179.0	3-DEAZAADENOSINE
180	174.8961480473945	0.81830907	89469.0625	0.0	0.0	0.0	0.0	96727.75142857144	8	180.0	Spectral Match to L-Arginine from NIST14
181	153.040837289516	0.8192693	0.0	190071.795	0.0	0.0	0.0	0.0	2	181.0	Xanthine - 30.0 eV
182	265.11206758473355	0.822463	23838895.5	0.0	6494713.5	14173321.333333334	0.0	23140207.14285714	27	182.0	Spectral Match to Thiamine cation from NIST14
183	122.0714544817029	0.8243315	609182.8	0.0	297928.475	375168.2	0.0	1133393.2857142854	15		
184	325.0433238242072	0.82752585	501354.1625	230600.0925	328427.6875	536856.48	0.0	972588.5142857142	-1	184.0	Uridine 5_-monophosphate
185	399.14502060507147	0.84740615	78038.265	0.0	177897.625	119446.71	0.0	43573.59428571428	20	185.0	S-ADENOSYLMETHIONINE
186	162.05845461198106	0.8508624	0.0	387354.55	57716.085	0.0	0.0	0.0	7		
187	355.1550955791751	0.8612253	291505.7075	0.0	84236.6925	55260.121333333336	0.0	356961.0714285714	20		
188	146.16538203365047	0.8637711	245773.3075	70169.5675	192818.1475	124102.23666666668	0.0	396855.5885714286	32	188.0	Spermidine CollisionEnergy:102040
189	162.07620859509024	0.89955974	517006.4625	36374.015	237276.15	479137.59	0.0	686728.8685714286	7		
190	174.88671121011348	0.9430357	226706.0425	0.0	105399.27375	104848.278	0.0	344588.0471428572	8	190.0	Spectral Match to L-Arginine from NIST14
191	268.1037281772902	0.9436214	1119770.775	419685.06	869101.975	1785815.6	0.0	1516465.4714285715	2	191.0	3-DEAZAADENOSINE
192	132.10216730107027	0.94369245	2029299.125	1578832.125	2427740.825	1356130.6666666667	0.0	4037474.857142857	6		
193	258.1105158141085	0.95055	186552.536	0.0	80098.652	19408.375	0.0	254860.85714285716	17	193.0	SN-GLYCERO-3-PHOSPHOCHOLINE
194	283.0363983604241	0.95138735	119544.1325	0.0	31285.6835	27647.612	0.0	262406.65142857144	-1		
195	141.0660216872369	0.996425	210436.4925	0.0	243720.295	163340.26666666666	0.0	234302.9428571429	4		
196	159.0765818947608	1.002704	269155.41000000003	35388.6125	322300.145	216319.86666666667	0.0	468843.3642857144	4		
197	162.07617858964596	1.01348	0.0	154001.0875	22403.1725	0.0	0.0	0.0	7		
198	284.09900941504293	1.0458509	172562.4375	160640.0275	88832.7435	206578.06333333327	0.0	169750.56857142856	2	198.0	XANTHOSINE
199	399.1450283814186	1.0600905	201557.4125	0.0	87395.11249999999	74718.12333333334	0.0	251391.66	20	199.0	S-ADENOSYLMETHIONINE
200	137.0459191247018	1.075961	0.0	136540.9775	21693.795	116044.11333333334	0.0	0.0	2		
201	175.11914006845052	1.1035658	0.0	0.0	0.0	3233934.1666666665	0.0	1715828.857142857	8	201.0	Spectral Match to L-Arginine from NIST14
202	176.12251437562807	1.1075898	206546.3	0.0	209734.1875	0.0	0.0	628600.8285714285	8	202.0	ARGININE
203	133.0974523749534	1.1246299	0.0	0.0	0.0	18226.72	0.0	31416.415714285715	16		
204	176.11592702295	1.1259751	64043.561	0.0	16034.6405	22614.112	0.0	130762.38357142857	8	204.0	ARGININE
205	129.10257701651972	1.1266627	51658.765	0.0	17385.815	26415.423333333336	0.0	104625.68857142856	6		
206	147.1032739846072	1.1291498	0.0	0.0	0.0	0.0	0.0	14850.496714285717	6		
207	185.0688731663584	1.1428881	280363.0025	0.0	134693.2375	134788.07666666666	0.0	435737.37142857147	-1		
208	147.12247110606512	1.1471033	0.0	0.0	0.0	0.0	0.0	7719.534285714285	6		
209	169.0949149245544	1.1479175	347879.61	0.0	189374.4575	140703.20333333334	0.0	432045.7442857143	-1	209.0	N.pi.-Methyl-L-histidine - 40.0 eV
210	130.08653841222872	1.1683711	420088.75	0.0	0.0	0.0	0.0	0.0	6		
211	197.0325215373364	1.1732556	139474.7225	0.0	91149.65	157523.06666666668	0.0	160220.27857142856	-1		
212	174.89618010914617	1.1744468	88730.77	0.0	43575.64	65999.58533333334	0.0	104444.99857142856	8	212.0	L-NIO
213	146.16533938950727	1.1896614	272127.17000000004	29977.1625	147611.48249999998	117514.88	0.0	565243.2828571429	32		
214	213.07504816135128	1.1937661	371798.25	0.0	234825.27	298251.5016666667	0.0	309328.59857142856	-1		
215	195.97746760899145	1.1953357	177813.31	0.0	89700.03099999999	124293.16333333332	0.0	168119.01857142858	-1		
216	147.07660584526323	1.2266511	221852.125	0.0	62094.575	0.0	0.0	0.0	6		
217	148.06052269093658	1.2423615	0.0	0.0	517207.625	0.0	0.0	0.0	6	217.0	L-glutamic acid
218	130.0501709559912	1.2616912	177768.95	0.0	0.0	0.0	0.0	0.0	6		
