feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	structure_taxonomy_npclassifier_02superclass_consensus	structure_taxonomy_npclassifier_03class_consensus	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	score_taxo	score_max_consistency	final_score
481	-1				0.0	MS1_match	WTJKGGKOPKCXLL-VYOBOKEXSA-N	InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-/t40-/m1/s1	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	C42H82NO8P	pos_1_1proton	759.577805214	WTJKGGKOPKCXLL	Fatty acids	Glycerophospholipids	Glycerophosphocholines	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	0	6.0
477	9	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.46567586	ISDB							WLQUKBFDCWVXKE						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	1.8627034425735474
476	12	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.0	MS1_match	WTJKGGKOPKCXLL-VYOBOKEXSA-N	InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-/t40-/m1/s1	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	C42H82NO8P	pos_1_1proton	759.577805214	WTJKGGKOPKCXLL	Fatty acids	Glycerophospholipids	Glycerophosphocholines	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	7.5
473	-1				0.0	MS1_match	WTJKGGKOPKCXLL-VYOBOKEXSA-N	InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-/t40-/m1/s1	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	C42H82NO8P	pos_1_1sodium	759.577805214	WTJKGGKOPKCXLL	Fatty acids	Glycerophospholipids	Glycerophosphocholines	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	0	6.0
471	9	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.6540171	ISDB							FNGLJQNZSXEYIG						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.6160683631896973
468	9	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.6439104	ISDB							YFGPTSONISZCTI						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.575641632080078
467	13	Terpenoids	Steroids	Pregnane steroids	0.6686866	ISDB							CPRUTHPUWILGGA						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.674746513366699
466	13	Terpenoids	Steroids	Pregnane steroids	0.5568478	ISDB	PCIZFQVDNDHRPP-WOIVZMLFSA-N	InChI=1S/C28H44O3/c1-16(2)17(3)7-8-18(4)20-9-10-21-23-22(12-13-26(20,21)5)27(6)14-11-19(29)15-28(27)25(31-28)24(23)30/h7-8,16-21,24-25,29-30H,9-15H2,1-6H3/b8-7+/t17-,18+,19-,20+,21-,24-,25-,26+,27+,28-/m0/s1	CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@]12O[C@H]2[C@H]3O	C28H44O3		428.3290452679999	PCIZFQVDNDHRPP	Terpenoids	Steroids	Cholestane steroids	Penicillium chrysogenum	226485.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Penicillium']	['Penicillium chrysogenum']	3	2	6.227391242980957
466	13	Terpenoids	Steroids	Pregnane steroids	0.5568478	ISDB	PCIZFQVDNDHRPP-WOIVZMLFSA-N	InChI=1S/C28H44O3/c1-16(2)17(3)7-8-18(4)20-9-10-21-23-22(12-13-26(20,21)5)27(6)14-11-19(29)15-28(27)25(31-28)24(23)30/h7-8,16-21,24-25,29-30H,9-15H2,1-6H3/b8-7+/t17-,18+,19-,20+,21-,24-,25-,26+,27+,28-/m0/s1	CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@]12O[C@H]2[C@H]3O	C28H44O3		428.3290452679999	PCIZFQVDNDHRPP	Terpenoids	Steroids	Cholestane steroids	Aspergillus ochraceus	283734.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Aspergillus ochraceus']	3	2	6.227391242980957
466	13	Terpenoids	Steroids	Pregnane steroids	0.5568478	ISDB	PCIZFQVDNDHRPP-WOIVZMLFSA-N	InChI=1S/C28H44O3/c1-16(2)17(3)7-8-18(4)20-9-10-21-23-22(12-13-26(20,21)5)27(6)14-11-19(29)15-28(27)25(31-28)24(23)30/h7-8,16-21,24-25,29-30H,9-15H2,1-6H3/b8-7+/t17-,18+,19-,20+,21-,24-,25-,26+,27+,28-/m0/s1	CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@]12O[C@H]2[C@H]3O	C28H44O3		428.3290452679999	PCIZFQVDNDHRPP	Terpenoids	Steroids	Cholestane steroids	Penicillium commune	840877.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Penicillium']	['Penicillium commune']	3	2	6.227391242980957
465	44	Terpenoids	Steroids	Ergostane steroids	0.28806102	ISDB	UDJPNKZCBLLFEF-KRRABBTLSA-N	InChI=1S/C28H42O/c1-18(2)19(3)7-8-20(4)24-13-14-25-23-12-10-21-9-11-22(29)17-28(21,6)26(23)15-16-27(24,25)5/h7-8,10,12,20,22,24-26,29H,9,11,13-17H2,1-6H3/b8-7+/t20-,22-,24-,25+,26+,27-,28+/m1/s1	CC(C)=C(C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4CC[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C	C28H42O		394.323565964	UDJPNKZCBLLFEF	Terpenoids	Steroids	Ergostane steroids	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	8.652244091033936
463	13	Terpenoids	Steroids	Pregnane steroids	0.5725595	ISDB							OYOIHWLYVJQMIC						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.2902379035949707
459	40	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.0	MS1_match	QIBZFHLFHCIUOT-NPBIGWJUSA-N	InChI=1S/C40H78NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h17,19,38H,6-16,18,20-37H2,1-5H3/b19-17-/t38-/m1/s1	CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	C40H78NO8P	pos_1_1proton	731.546505086	QIBZFHLFHCIUOT	Fatty acids	Glycerophospholipids	Glycerophosphocholines	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	7.5
458	13	Terpenoids	Steroids	Pregnane steroids	0.40329325	ISDB	UVNYUMXKLUCIGN-CMLOMSQHSA-N	InChI=1S/C28H42O2/c1-18(2)19(3)7-8-20(4)23-9-10-24-27(23,6)15-13-25-26(5)14-12-22(29)17-21(26)11-16-28(24,25)30/h7-8,11,16-20,23-25,30H,9-10,12-15H2,1-6H3/b8-7+/t19-,20+,23+,24+,25+,26-,27+,28+/m0/s1	CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@]3(O)C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	C28H42O2		410.31848058399993	UVNYUMXKLUCIGN	Terpenoids	Steroids	Ergostane steroids	Aspergillus ustus	283732.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Aspergillus ustus']	3	2	5.613173007965088
455	9	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.6364204	ISDB							AOPKTUBRDQVUIG						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.5456817150115967
451	40	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.0	MS1_match	QIBZFHLFHCIUOT-NPBIGWJUSA-N	InChI=1S/C40H78NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h17,19,38H,6-16,18,20-37H2,1-5H3/b19-17-/t38-/m1/s1	CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	C40H78NO8P	pos_1_1proton	731.546505086	QIBZFHLFHCIUOT	Fatty acids	Glycerophospholipids	Glycerophosphocholines	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	7.5
449	2	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	0.0	MS1_match	KZJWDPNRJALLNS-VJSFXXLFSA-N	InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	C29H50O	pos_1_minus1proton1iron	414.38616622	KZJWDPNRJALLNS	Terpenoids	Steroids	Stigmastane steroids	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	0	6.0
449	2	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	0.0	MS1_match	KZJWDPNRJALLNS-VJSFXXLFSA-N	InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	C29H50O	pos_1_minus1proton1iron	414.38616622	KZJWDPNRJALLNS	Terpenoids	Steroids	Stigmastane steroids	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	0	6.0
448	-1				0.29842544	ISDB	LHISSQSEJOQIGC-NKDYFMNSSA-N	InChI=1S/C28H42O2/c1-17(2)18(3)7-8-19(4)26-25(30)16-24-22-10-9-20-15-21(29)11-13-27(20,5)23(22)12-14-28(24,26)6/h7-10,17-18,20-21,23,25,29-30H,11-16H2,1-6H3/b8-7+,26-19-/t18?,20-,21-,23-,25+,27-,28-/m0/s1	CC(/C=C/C(C)C(C)C)=C1\[C@H](O)CC2=C3C=C[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	C28H42O2		410.318480584	LHISSQSEJOQIGC	Terpenoids	Steroids	Ergostane steroids	Dichotomomyces cejpii	214416.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Dichotomomyces']	['Dichotomomyces cejpii']	3	0	4.19370174407959
448	-1				0.29842544	ISDB	LHISSQSEJOQIGC-NKDYFMNSSA-N	InChI=1S/C28H42O2/c1-17(2)18(3)7-8-19(4)26-25(30)16-24-22-10-9-20-15-21(29)11-13-27(20,5)23(22)12-14-28(24,26)6/h7-10,17-18,20-21,23,25,29-30H,11-16H2,1-6H3/b8-7+,26-19-/t18?,20-,21-,23-,25+,27-,28-/m0/s1	CC(/C=C/C(C)C(C)C)=C1\[C@H](O)CC2=C3C=C[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	C28H42O2		410.318480584	LHISSQSEJOQIGC	Terpenoids	Steroids	Ergostane steroids	Aspergillus cejpii	214416.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Dichotomomyces']	['Dichotomomyces cejpii']	3	0	4.19370174407959
445	44	Terpenoids	Steroids	Ergostane steroids	0.6013746	ISDB	GWOAMHMYCJRYMO-NIDOPEEVSA-N	InChI=1S/C28H40O/c1-17(2)18(3)7-8-19(4)26-11-12-27-25-15-21-9-10-22(29)16-24(21)20(5)23(25)13-14-28(26,27)6/h7-8,13-15,17-19,22,26-27,29H,9-12,16H2,1-6H3/b8-7+/t18-,19+,22-,26+,27-,28+/m0/s1	Cc1c2c(cc3c1C[C@@H](O)CC3)[C@@H]1CC[C@H]([C@H](C)/C=C/[C@H](C)C(C)C)[C@@]1(C)C=C2	C28H40O		392.3079159	GWOAMHMYCJRYMO	Terpenoids	Steroids	Ergostane steroids	Penicillium citreonigrum	927515.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Penicillium']	['Penicillium citreonigrum']	3	3	6.905498504638672
445	44	Terpenoids	Steroids	Ergostane steroids	0.6013746	ISDB	GWOAMHMYCJRYMO-NIDOPEEVSA-N	InChI=1S/C28H40O/c1-17(2)18(3)7-8-19(4)26-11-12-27-25-15-21-9-10-22(29)16-24(21)20(5)23(25)13-14-28(26,27)6/h7-8,13-15,17-19,22,26-27,29H,9-12,16H2,1-6H3/b8-7+/t18-,19+,22-,26+,27-,28+/m0/s1	Cc1c2c(cc3c1C[C@@H](O)CC3)[C@@H]1CC[C@H]([C@H](C)/C=C/[C@H](C)C(C)C)[C@@]1(C)C=C2	C28H40O		392.3079159	GWOAMHMYCJRYMO	Terpenoids	Steroids	Ergostane steroids	Penicillium citreoviride	927515.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Penicillium']	['Penicillium citreonigrum']	3	3	6.905498504638672
441	13	Terpenoids	Steroids	Pregnane steroids	0.61462045	ISDB	RJKFOVLPORLFTN-LEKSSAKUSA-N	InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	C21H30O2		314.2245802	RJKFOVLPORLFTN	Terpenoids	Steroids	Pregnane steroids	Valsa sordida	382306.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Diaporthales']	['Valsaceae']	['Unknown']	['Valsa']	['Valsa sordida']	3	3	6.958481788635254
439	-1				0.0	MS1_match	DBHKHNGBVGWQJE-USWSLJGRSA-N	InChI=1S/C23H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h6-7,9-10,22,25H,2-5,8,11-21,24H2,1H3,(H,27,28)/b7-6-,10-9-/t22-/m1/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN	C23H44NO7P	pos_2MCa	477.285539378	DBHKHNGBVGWQJE	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	0	6.0
438	13	Terpenoids	Steroids	Pregnane steroids	0.81208324	ISDB	FATBGEAMYMYZAF-KTKRTIGZSA-N	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9-	CCCCCCCC/C=C\CCCCCCCC(N)=O	C18H35NO		281.27186474	FATBGEAMYMYZAF	Fatty acids	Fatty amides	Primary amides	Valsa sordida	382306.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Diaporthales']	['Valsaceae']	['Unknown']	['Valsa']	['Valsa sordida']	3	0	6.248332977294922
437	2	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	0.0	MS1_match	DBHKHNGBVGWQJE-USWSLJGRSA-N	InChI=1S/C23H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h6-7,9-10,22,25H,2-5,8,11-21,24H2,1H3,(H,27,28)/b7-6-,10-9-/t22-/m1/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN	C23H44NO7P	pos_2MCa	477.285539378	DBHKHNGBVGWQJE	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	1	6.5
