id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
11_mapp_batch_00114_sirius_11	C16H13ClN2O2	[M + H]+	C16H13ClN2O2	Alkaloids	0.8694623112678528	Anthranilic acid alkaloids	0.5385861992835999	Benzodiazepine alkaloids	0.09582870453596115	Alpha amino acids and derivatives	0.21661989390850067	Amino acids and derivatives	0.5181421041488647	Amino acids, peptides, and analogues	0.5212810635566711	Carboxylic acids and derivatives	0.9740083813667297	Organic acids and derivatives	0.991436779499054	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Benzodiazepines; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; 1,4-benzodiazepines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	11
12_mapp_batch_00114_sirius_12	C16H11ClN2O	[M + H]+	C16H11ClN2O	Alkaloids	0.9941230416297913	Anthranilic acid alkaloids	0.6817423701286316	Pyridine alkaloids	0.09976796060800552	Alpha amino acids and derivatives	0.1514803022146225	Amino acids and derivatives	0.12655073404312134	Amino acids, peptides, and analogues	0.12183333188295364	Carboxylic acids and derivatives	0.40179306268692017	Organic acids and derivatives	0.5507779121398926	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Pyridines and derivatives; Lactams; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Aryl chlorides; Quinolines and derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	12
14_mapp_batch_00114_sirius_14	C3H4O4PS	[M - H2O + H]+	C3H2O3PS	Fatty acids	0.2632029950618744	Small peptides	0.1682230532169342	Simple phenolic acids	0.12013169378042221	Monocarboxylic acids and derivatives	0.5523114204406738			Monocarboxylic acids and derivatives	0.5523114204406738	Carboxylic acids and derivatives	0.5400182604789734	Organic acids and derivatives	0.9704515933990479	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organophosphorus compounds; Monocarboxylic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	14
15_mapp_batch_00114_sirius_15	C8H11BFNO4	[M + H]+	C8H11BFNO4	Amino acids and Peptides	0.986011803150177	Small peptides	0.997400164604187	Aminoacids	0.9870004653930664	L-alpha-amino acids	0.33273956179618835	Amino acids and derivatives	0.9922742247581482	Amino acids, peptides, and analogues	0.9923486709594727	Carboxylic acids and derivatives	0.9994133710861206	Organic acids and derivatives	0.9999896287918091	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Boronic acids; Organometallic compounds; Monoalkylamines; Boronic acid derivatives; Aryl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organometalloid compounds; Organofluorides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organoboron compounds; Aryl halides; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Alkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	15
16_mapp_batch_00114_sirius_16	C6H4Cl3N3O2	[M + H]+	C6H4Cl3N3O2	Alkaloids	0.971606969833374	Pseudoalkaloids	0.5576478242874146	Purine alkaloids	0.8472319841384888	Imidazopyrimidines	0.5320255160331726					Imidazopyrimidines	0.5320255160331726	Organoheterocyclic compounds	0.9999115467071533	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Lactams; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Diazines; Organochlorides; Imidazopyrimidines; Aryl halides; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	16
19_mapp_batch_00114_sirius_19	C5H11O11P3S3	[M + Na]+	C5H11O11P3S3	Fatty acids	0.6853983402252197	Fatty acyls	0.32722482085227966	Fatty alcohols	0.02348746545612812	Organic phosphoric acids and derivatives	0.8157015442848206					Organic phosphoric acids and derivatives	0.8157015442848206	Organic acids and derivatives	0.9998144507408142	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	19
20_mapp_batch_00114_sirius_20	C13H10O4	[M + H]+	C13H10O4	Shikimates and Phenylpropanoids	0.6949561238288879	Coumarins	0.43681615591049194	Naphthalenes and derivatives	0.25486910343170166	1-benzopyrans	0.5384543538093567			1-benzopyrans	0.5384543538093567	Benzopyrans	0.7126315832138062	Organoheterocyclic compounds	0.965727686882019	Organic compounds; Organoheterocyclic compounds; Lactones; Benzopyrans; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	20
21_mapp_batch_00114_sirius_21	C2HBrN4O2	[M + Na]+	C2HBrN4O2	Alkaloids	0.9824575781822205	Pseudoalkaloids	0.9025241136550903	Purine alkaloids	0.8026763200759888	6-oxopurines	0.5582833290100098	Purinones	0.690067708492279	Purines and purine derivatives	0.35131537914276123	Imidazopyrimidines	0.5710747838020325	Organoheterocyclic compounds	0.9997953772544861	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Lactams; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Purinones; Aryl bromides; Diazines; 6-oxopurines; Organobromides; Imidazopyrimidines; Aryl halides; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	21
22_mapp_batch_00114_sirius_22	C19H23FN2O	[M + H]+	C19H23FN2O	Alkaloids	0.9437295198440552	Nicotinic acid alkaloids	0.36378219723701477	Pyridine alkaloids	0.3215150833129883	Amino acids	0.06360591948032379	Amino acids and derivatives	0.7538365125656128	Amino acids, peptides, and analogues	0.746310293674469	Carboxylic acids and derivatives	0.6866281032562256	Organic acids and derivatives	0.7259389758110046	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Halobenzenes; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Organofluorides; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Aryl halides; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	22
24_mapp_batch_00114_sirius_24	C5H14N4O	[M + H]+	C5H14N4O	Amino acids and Peptides	0.7251646518707275	Small peptides	0.65455162525177	Polyamines	0.3978496789932251	Alpha amino acid amides	0.9392263293266296	Amino acids and derivatives	0.9867227673530579	Amino acids, peptides, and analogues	0.9887739419937134	Carboxylic acids and derivatives	0.9293477535247803	Organic acids and derivatives	0.8923148512840271	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	24
25_mapp_batch_00114_sirius_25	C5H12N2O2	[M + H]+	C5H12N2O2	Amino acids and Peptides	0.9280807375907898	Small peptides	0.9737070798873901	Aminoacids	0.9604132771492004	L-alpha-amino acids	0.504718005657196	Amino acids and derivatives	0.9974960684776306	Amino acids, peptides, and analogues	0.9975658655166626	Carboxylic acids and derivatives	0.998651921749115	Organic acids and derivatives	0.9994283318519592	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	25
26_mapp_batch_00114_sirius_26	C6H11NO2	[M + H]+	C6H11NO2	Amino acids and Peptides	0.9718492031097412	Small peptides	0.986520528793335	Aminoacids	0.889313817024231	Alpha amino acids	0.940178394317627	Amino acids and derivatives	0.9951122403144836	Amino acids, peptides, and analogues	0.9950271248817444	Carboxylic acids and derivatives	0.9997871518135071	Organic acids and derivatives	0.9998167157173157	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Piperidines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Piperidinecarboxylic acids and derivatives; Trialkylamines; Alpha amino acids; Piperidinecarboxylic acids; Pyrrolidine carboxylic acids; Amines; N-alkylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	26
28_mapp_batch_00114_sirius_28	C5H10Cl2N2O	[M - H2O + H]+	C5H8Cl2N2	Alkaloids	0.8843759894371033	Ornithine alkaloids	0.49456000328063965	Halogenated hydrocarbons	0.13441042602062225	N-substituted imidazoles	1.494643947808072E-4	Substituted imidazoles	6.318303057923913E-4	Imidazoles	7.16353883035481E-4	Azoles	6.856840918771923E-4	Organoheterocyclic compounds	0.3395010530948639	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	28
29_mapp_batch_00114_sirius_29	C5H4Cl2N2O2	[M + K]+	C5H4Cl2N2O2	Amino acids and Peptides	0.5070677399635315	Small peptides	0.5821525454521179	Aminoacids	0.5905938744544983	Amino acids	0.7097652554512024	Amino acids and derivatives	0.7256232500076294	Amino acids, peptides, and analogues	0.7220118641853333	Carboxylic acids and derivatives	0.9247101545333862	Organic acids and derivatives	0.9261115193367004	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyridines and derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Aminopyridines and derivatives; Organooxygen compounds; Amino acids and derivatives; Aryl chlorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Pyridinecarboxylic acids; Amines; Primary amines; Aryl halides; Vinyl halides; Vinylogous halides; Vinylogous amides; Organic oxides; Halopyridines; Polyhalopyridines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	29
30_mapp_batch_00114_sirius_30	C6H14N2O2	[M - H2O + H]+	C6H12N2O	Amino acids and Peptides	0.9945539236068726	Small peptides	0.9985835552215576	Aminoacids	0.9951818585395813	L-alpha-amino acids	0.5518972277641296	Amino acids and derivatives	0.9996622800827026	Amino acids, peptides, and analogues	0.9996438026428223	Carboxylic acids and derivatives	0.9996424913406372	Organic acids and derivatives	0.9999417066574097	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	30
31_mapp_batch_00114_sirius_31	C6H14N2O2	[M + H]+	C6H14N2O2	Amino acids and Peptides	0.9943227767944336	Small peptides	0.9986985921859741	Aminoacids	0.9953722357749939	L-alpha-amino acids	0.5454275012016296	Amino acids and derivatives	0.9995394945144653	Amino acids, peptides, and analogues	0.9995208978652954	Carboxylic acids and derivatives	0.9996843338012695	Organic acids and derivatives	0.9999570846557617	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	31
32_mapp_batch_00114_sirius_32	C10H12N	[M + H]+	C10H12N	Alkaloids	0.9814009666442871	Ornithine alkaloids	0.607556939125061	Tropane alkaloids	0.1513132005929947	Aralkylamines	0.8700639009475708	Aralkylamines	0.8700639009475708	Amines	0.9942968487739563	Organonitrogen compounds	0.999909520149231	Organic nitrogen compounds	0.9999837875366211	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Dialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Aralkylamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	32
34_mapp_batch_00114_sirius_34	C6H9N3O2	[M + H]+	C6H9N3O2	Amino acids and Peptides	0.995587944984436	Small peptides	0.9995056390762329	Aminoacids	0.993018388748169	Histidine and derivatives	0.8485320210456848	Amino acids and derivatives	0.9998326301574707	Amino acids, peptides, and analogues	0.9998457431793213	Carboxylic acids and derivatives	0.999087929725647	Organic acids and derivatives	0.999798595905304	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	34
35_mapp_batch_00114_sirius_35	C6H14N2O2	[M + Na]+	C6H14N2O2	Amino acids and Peptides	0.9955379962921143	Small peptides	0.9989374279975891	Aminoacids	0.9966212511062622	L-alpha-amino acids	0.5371371507644653	Amino acids and derivatives	0.9997496008872986	Amino acids, peptides, and analogues	0.9997343420982361	Carboxylic acids and derivatives	0.999767005443573	Organic acids and derivatives	0.9999493360519409	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	35
36_mapp_batch_00114_sirius_36	C7H17NS	[M + H]+	C7H17NS	Fatty acids	0.7949181795120239	Fatty acyls	0.5708398222923279	Polyamines	0.18378369510173798	Alkylthiols	0.0855490043759346			Alkylthiols	0.0855490043759346	Thiols	0.06050137057900429	Organosulfur compounds	0.9994163513183594	Organic compounds; Organosulfur compounds; Organonitrogen compounds; Monoalkylamines; Thioethers; Dialkylamines; Amines; Primary amines; Secondary amines; Sulfenyl compounds; Dialkylthioethers; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	36
39_mapp_batch_00114_sirius_39	C5H11NO2	[M + K]+	C5H11NO2	Amino acids and Peptides	0.4360702335834503	Small peptides	0.434947669506073	Aminoacids	0.5804644227027893	Alpha amino acids	0.6549199819564819	Amino acids and derivatives	0.5948036313056946	Amino acids, peptides, and analogues	0.5811229348182678	Carboxylic acids and derivatives	0.8939610719680786	Organic acids and derivatives	0.8408091068267822	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	39
