"canopus_id"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#all classifications"	"canopus_featureId"	"feature_id"
"11_mapp_batch_00114_sirius_11"	"C16H13ClN2O2"	"[M + H]+"	"C16H13ClN2O2"	"Alkaloids"	0.869462311267853	"Anthranilic acid alkaloids"	0.5385861992836	"Benzodiazepine alkaloids"	0.0958287045359612	"Amino acids and derivatives"	0.518142104148865	"Amino acids and derivatives"	0.518142104148865	"Amino acids, peptides, and analogues"	0.521281063556671	"Carboxylic acids and derivatives"	0.97400838136673	"Organic acids and derivatives"	0.991436779499054	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Benzodiazepines; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; 1,4-benzodiazepines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	11	11
"12_mapp_batch_00114_sirius_12"	"C16H11ClN2O"	"[M + H]+"	"C16H11ClN2O"	"Alkaloids"	0.994123041629791	"Anthranilic acid alkaloids"	0.681742370128632	"Pyridine alkaloids"	0.0997679606080055	"Alpha amino acids and derivatives"	0.151480302214622	"Amino acids and derivatives"	0.126550734043121	"Amino acids, peptides, and analogues"	0.121833331882954	"Carboxylic acids and derivatives"	0.40179306268692	"Organic acids and derivatives"	0.550777912139893	"Organic compounds; Organoheterocyclic compounds; Halobenzenes; Pyridines and derivatives; Lactams; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Aryl chlorides; Quinolines and derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	12	12
"14_mapp_batch_00114_sirius_14"	"C3H4O4PS"	"[M - H2O + H]+"	"C3H2O3PS"	"Fatty acids"	0.263202995061874	"Small peptides"	0.168223053216934	"Simple phenolic acids"	0.120131693780422	"Monocarboxylic acids and derivatives"	0.552311420440674	NA	NA	"Monocarboxylic acids and derivatives"	0.552311420440674	"Carboxylic acids and derivatives"	0.540018260478973	"Organic acids and derivatives"	0.970451593399048	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organophosphorus compounds; Monocarboxylic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	14	14
"15_mapp_batch_00114_sirius_15"	"C8H11BFNO4"	"[M + H]+"	"C8H11BFNO4"	"Amino acids and Peptides"	0.986011803150177	"Small peptides"	0.997400164604187	"Aminoacids"	0.987000465393066	"L-alpha-amino acids"	0.332739561796188	"Amino acids and derivatives"	0.992274224758148	"Amino acids, peptides, and analogues"	0.992348670959473	"Carboxylic acids and derivatives"	0.999413371086121	"Organic acids and derivatives"	0.999989628791809	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Boronic acids; Organometallic compounds; Monoalkylamines; Boronic acid derivatives; Aryl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organometalloid compounds; Organofluorides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organoboron compounds; Aryl halides; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Alkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	15	15
"16_mapp_batch_00114_sirius_16"	"C6H4Cl3N3O2"	"[M + H]+"	"C6H4Cl3N3O2"	"Alkaloids"	0.971606969833374	"Pseudoalkaloids"	0.557647824287415	"Purine alkaloids"	0.847231984138489	"Imidazopyrimidines"	0.532025516033173	NA	NA	NA	NA	"Imidazopyrimidines"	0.532025516033173	"Organoheterocyclic compounds"	0.999911546707153	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Lactams; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Diazines; Organochlorides; Imidazopyrimidines; Aryl halides; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	16	16
"19_mapp_batch_00114_sirius_19"	"C5H11O11P3S3"	"[M + Na]+"	"C5H11O11P3S3"	"Fatty acids"	0.68539834022522	"Fatty acyls"	0.32722482085228	"Fatty alcohols"	0.0234874654561281	"Organic phosphoric acids and derivatives"	0.815701544284821	NA	NA	NA	NA	"Organic phosphoric acids and derivatives"	0.815701544284821	"Organic acids and derivatives"	0.999814450740814	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	19	19
"20_mapp_batch_00114_sirius_20"	"C13H10O4"	"[M + H]+"	"C13H10O4"	"Shikimates and Phenylpropanoids"	0.694956123828888	"Coumarins"	0.436816155910492	"Naphthalenes and derivatives"	0.254869103431702	"1-benzopyrans"	0.538454353809357	NA	NA	"1-benzopyrans"	0.538454353809357	"Benzopyrans"	0.712631583213806	"Organoheterocyclic compounds"	0.965727686882019	"Organic compounds; Organoheterocyclic compounds; Lactones; Benzopyrans; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities"	20	20
"21_mapp_batch_00114_sirius_21"	"C2HBrN4O2"	"[M + Na]+"	"C2HBrN4O2"	"Alkaloids"	0.98245757818222	"Pseudoalkaloids"	0.90252411365509	"Purine alkaloids"	0.802676320075989	"6-oxopurines"	0.55828332901001	"Purinones"	0.690067708492279	"Purines and purine derivatives"	0.351315379142761	"Imidazopyrimidines"	0.571074783802032	"Organoheterocyclic compounds"	0.999795377254486	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Lactams; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Purinones; Aryl bromides; Diazines; 6-oxopurines; Organobromides; Imidazopyrimidines; Aryl halides; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	21	21
"22_mapp_batch_00114_sirius_22"	"C19H23FN2O"	"[M + H]+"	"C19H23FN2O"	"Alkaloids"	0.943729519844055	"Nicotinic acid alkaloids"	0.363782197237015	"Pyridine alkaloids"	0.321515083312988	"Amino acids"	0.0636059194803238	"Amino acids and derivatives"	0.753836512565613	"Amino acids, peptides, and analogues"	0.746310293674469	"Carboxylic acids and derivatives"	0.686628103256226	"Organic acids and derivatives"	0.725938975811005	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Halobenzenes; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Organofluorides; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Aryl halides; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	22	22
"24_mapp_batch_00114_sirius_24"	"C5H16N4O2"	"[M - H2O + H]+"	"C5H14N4O"	"Amino acids and Peptides"	0.641494870185852	"Small peptides"	0.83370041847229	"Aminoacids"	0.911256849765778	"Alpha amino acid amides"	0.000723173667211086	"Amino acids and derivatives"	0.76377135515213	"Amino acids, peptides, and analogues"	0.75972443819046	"Carboxylic acids and derivatives"	0.838465988636017	"Organic acids and derivatives"	0.869657933712006	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	24	24
"25_mapp_batch_00114_sirius_25"	"C5H12N2O2"	"[M + H]+"	"C5H12N2O2"	"Amino acids and Peptides"	0.92808073759079	"Small peptides"	0.97370707988739	"Aminoacids"	0.9604132771492	"L-alpha-amino acids"	0.504718005657196	"Amino acids and derivatives"	0.997496068477631	"Amino acids, peptides, and analogues"	0.997565865516663	"Carboxylic acids and derivatives"	0.998651921749115	"Organic acids and derivatives"	0.999428331851959	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	25	25
"26_mapp_batch_00114_sirius_26"	"C6H11NO2"	"[M + H]+"	"C6H11NO2"	"Amino acids and Peptides"	0.971849203109741	"Small peptides"	0.986520528793335	"Aminoacids"	0.889313817024231	"Alpha amino acids"	0.940178394317627	"Amino acids and derivatives"	0.995112240314484	"Amino acids, peptides, and analogues"	0.995027124881744	"Carboxylic acids and derivatives"	0.999787151813507	"Organic acids and derivatives"	0.999816715717316	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Piperidines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Piperidinecarboxylic acids and derivatives; Trialkylamines; Alpha amino acids; Piperidinecarboxylic acids; Pyrrolidine carboxylic acids; Amines; N-alkylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	26	26
"28_mapp_batch_00114_sirius_28"	"C5H10Cl2N2O"	"[M - H2O + H]+"	"C5H8Cl2N2"	"Alkaloids"	0.884375989437103	"Ornithine alkaloids"	0.49456000328064	"Halogenated hydrocarbons"	0.134410426020622	"N-substituted imidazoles"	0.000149464394780807	"Substituted imidazoles"	0.000631830305792391	"Imidazoles"	0.000716353883035481	"Azoles"	0.000685684091877192	"Organoheterocyclic compounds"	0.339501053094864	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	28	28
"29_mapp_batch_00114_sirius_29"	"C5H4Cl2N2O2"	"[M + K]+"	"C5H4Cl2N2O2"	"Amino acids and Peptides"	0.507067739963531	"Small peptides"	0.582152545452118	"Aminoacids"	0.590593874454498	"Amino acids"	0.709765255451202	"Amino acids and derivatives"	0.725623250007629	"Amino acids, peptides, and analogues"	0.722011864185333	"Carboxylic acids and derivatives"	0.924710154533386	"Organic acids and derivatives"	0.9261115193367	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyridines and derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Aminopyridines and derivatives; Organooxygen compounds; Amino acids and derivatives; Aryl chlorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Pyridinecarboxylic acids; Amines; Primary amines; Aryl halides; Vinyl halides; Vinylogous halides; Vinylogous amides; Organic oxides; Halopyridines; Polyhalopyridines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	29	29
"30_mapp_batch_00114_sirius_30"	"C6H14N2O2"	"[M - H2O + H]+"	"C6H12N2O"	"Amino acids and Peptides"	0.994553923606873	"Small peptides"	0.998583555221558	"Aminoacids"	0.995181858539581	"L-alpha-amino acids"	0.55189722776413	"Amino acids and derivatives"	0.999662280082703	"Amino acids, peptides, and analogues"	0.999643802642822	"Carboxylic acids and derivatives"	0.999642491340637	"Organic acids and derivatives"	0.99994170665741	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	30	30
"31_mapp_batch_00114_sirius_31"	"C6H14N2O2"	"[M + H]+"	"C6H14N2O2"	"Amino acids and Peptides"	0.994322776794434	"Small peptides"	0.998698592185974	"Aminoacids"	0.995372235774994	"L-alpha-amino acids"	0.54542750120163	"Amino acids and derivatives"	0.999539494514465	"Amino acids, peptides, and analogues"	0.999520897865295	"Carboxylic acids and derivatives"	0.99968433380127	"Organic acids and derivatives"	0.999957084655762	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	31	31
"32_mapp_batch_00114_sirius_32"	"C6H17N2OP"	"[M - H2O + H]+"	"C6H15N2P"	"Alkaloids"	0.943420886993408	"Ornithine alkaloids"	0.478291094303131	"Polyamines"	0.554318070411682	"Dialkylamines"	0.607545137405396	"Secondary amines"	0.674637854099274	"Amines"	0.692033171653748	"Organonitrogen compounds"	0.999874949455261	"Organic nitrogen compounds"	1	"Organic compounds; Organonitrogen compounds; Organophosphorus compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Secondary amines; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	32	32
"34_mapp_batch_00114_sirius_34"	"C6H9N3O2"	"[M + H]+"	"C6H9N3O2"	"Amino acids and Peptides"	0.995587944984436	"Small peptides"	0.999505639076233	"Aminoacids"	0.993018388748169	"Histidine and derivatives"	0.848532021045685	"Amino acids and derivatives"	0.999832630157471	"Amino acids, peptides, and analogues"	0.999845743179321	"Carboxylic acids and derivatives"	0.999087929725647	"Organic acids and derivatives"	0.999798595905304	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	34	34
"35_mapp_batch_00114_sirius_35"	"C6H14N2O2"	"[M + Na]+"	"C6H14N2O2"	"Amino acids and Peptides"	0.995537996292114	"Small peptides"	0.998937427997589	"Aminoacids"	0.996621251106262	"L-alpha-amino acids"	0.537137150764465	"Amino acids and derivatives"	0.999749600887299	"Amino acids, peptides, and analogues"	0.999734342098236	"Carboxylic acids and derivatives"	0.999767005443573	"Organic acids and derivatives"	0.999949336051941	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	35	35
