"sirius_smiles"	"sirius_structurePerIdRank"	"sirius_formulaRank"	"sirius_ConfidenceScoreExact"	"sirius_ConfidenceScoreApproximate"	"sirius_CSI:FingerIDScore"	"sirius_ZodiacScore"	"sirius_SiriusScoreNormalized"	"sirius_SiriusScore"	"sirius_molecularFormula"	"sirius_adduct"	"sirius_precursorFormula"	"sirius_InChIkey2D"	"sirius_InChI"	"sirius_name"	"sirius_xlogp"	"sirius_pubchemids"	"sirius_links"	"sirius_dbflags"	"sirius_ionMass"	"sirius_retentionTimeInSeconds"	"sirius_retentionTimeInMinutes"	"sirius_formulaId"	"sirius_alignedFeatureId"	"sirius_mappingFeatureId"	"sirius_overallFeatureQuality"	"sirius_chebiid"	"sirius_chebiasciiname"	"sirius_searchscore"	"sirius_entitystar"	"feature_id"
"C(C(C(=O)C(C(CF)O)O)O)O"	1	1	"0.034"	"0.049"	-182.571	0.506	0.5	111.39	"C6H11FO5"	"[M + H3N + H]+"	"C6H15FNO5+"	"MALZLKSOKNYBCG"	"InChI=1S/C6H11FO5/c7-1-3(9)5(11)6(12)4(10)2-8/h3-5,8-11H,1-2H2"	"(2R,4R,5S)-6-fluoro-1,2,4,5-tetrahydroxyhexan-3-one"	-2.2	"90939819;54062162;54062163;91421935"	"BloodExposome:(91421935);PUBCHEM:(90939819 54062162 54062163 91421935);PUBMED"	4194370	200.092	159	2.648	695994787427064960	695994654002055936	199	NA	NA	NA	NA	NA	199
"C(C(C(=O)O)N)C(=CC=COO)C=CO"	1	1	"0.378"	"0.378"	-143.458	1	0.333	128.439	"C9H13NO5"	"[M - H2O + H]+"	"C9H12NO4+"	"AMEKAKFJYGGFTQ"	"InChI=1S/C9H13NO5/c10-8(9(12)13)6-7(3-4-11)2-1-5-15-14/h1-5,8,11,14H,6,10H2,(H,12,13)"	"(4Z,6E)-2-Amino-7-hydroperoxy-4-[(E)-2-hydroxyvinyl]hepta-4,6-dienoic acid"	-2.2	"49867774"	"PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(49867774)"	16777218	198.077	361	6.023	695994980780295168	695994671395836544	695	NA	NA	NA	NA	NA	695
"C(C(C(C(C(C=NC(=O)N)O)O)O)O)O"	1	1	"0.392"	"0.392"	-95.532	0.956	0.98	21.026	"C7H14N2O6"	"[M + Na]+"	"C7H14N2NaO6+"	"FIICNUDAUOUCMD"	"InChI=1S/C7H14N2O6/c8-7(15)9-1-3(11)5(13)6(14)4(12)2-10/h1,3-6,10-14H,2H2,(H2,8,15)"	"1-(Carbamoylimino)-1-deoxy-D-glucose"	-3.9	"74051160;23424462;131845362"	"PUBCHEM:(74051160 23424462 131845362);DSSTox:(DTXSID401030464)"	137438953474	245.075	355	5.915	695995023306345216	695994670640861824	672	NA	NA	NA	NA	NA	672
"C(C(C(C(CO)O)O)N)O"	1	1	"0.024"	"0.024"	-270.637	1	0.333	70.469	"C5H13NO4"	"[M - H2O + H]+"	"C5H12NO3+"	"VMWHZZCFIPURJF"	"InChI=1S/C5H13NO4/c6-3(1-7)5(10)4(9)2-8/h3-5,7-10H,1-2,6H2"	"4-Aminopentane-1,2,3,5-tetrol"	-3.3	"85688843;126485686;126485687;129685796"	"MESH:(129685796);PUBCHEM:(85688843 126485686 126485687 129685796);PUBMED:(null)"	70	134.082	120	1.998	695994784881122176	695994645902854400	84	NA	NA	NA	NA	NA	84
"C(C(C(C(CO)O)O)O)N"	1	1	"0.053"	"0.053"	-281.426	1	0.333	52.58	"C5H13NO4"	"[M - H2O + H]+"	"C5H12NO3+"	"RNHXWPCUJTZBAR"	"InChI=1S/C5H13NO4/c6-1-3(8)5(10)4(9)2-7/h3-5,7-10H,1-2,6H2"	"5-aminopentane-1,2,3,4-tetrol"	-2.77	"21826381;87928625;87928700;16086143;154437833;89330802;89384694;11116232;88946646;229859;12442746;12442747;12442748"	"COCONUT:(CNP0226746);BloodExposome:(12442746);SUPERNATURAL:(SN0330080);PUBCHEM:(21826381 87928625 87928700 16086143 154437833 89330802 89384694 11116232 88946646 229859 12442746 12442747 12442748);PUBMED:(null)"	7340098	134.082	283	4.719	695994952472936832	695994666324922496	553	NA	NA	NA	NA	NA	553
"C(C(C(O)(O)O)N)C(=O)N"	1	1	"0.216"	"0.216"	-182.68	1	0.333	38.523	"C4H10N2O4"	"[M - H2O + H]+"	"C4H9N2O3+"	"USGVMGIFCLHDGU"	"InChI=1S/C4H10N2O4/c5-2(1-3(6)7)4(8,9)10/h2,8-10H,1,5H2,(H2,6,7)"	"(3S)-3-amino-4,4,4-trihydroxybutanamide"	-3.8	"137349083"	"PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(137349083)"	16777218	133.061	377	6.283	695995019690855040	695994672553464576	727	NA	NA	NA	NA	NA	727
"C(C(C(O)(O)O)N)O"	1	1	"0.064"	"0.064"	-85.495	1	0.333	9.484	"C3H9NO4"	"[M - H2O + H]+"	"C3H8NO3+"	"JGCYQDLBVXFPCC"	"InChI=1S/C3H9NO4/c4-2(1-5)3(6,7)8/h2,5-8H,1,4H2"	"(2S)-2-aminopropane-1,1,1,3-tetrol"	-3.3	"91422297"	"PUBCHEM:(91422297);PUBMED"	66	106.05	157	2.614	695994772176574208	695994653716843264	194	NA	NA	NA	NA	NA	194
"C(C(CC(=O)O)N)C(=O)O"	1	1	"0.193"	"0.348"	-84.553	1	0.333	68.181	"C5H9NO4"	"[M - H2O + H]+"	"C5H8NO3+"	"BBJIPMIXTXKYLZ"	"InChI=1S/C5H9NO4/c6-3(1-4(7)8)2-5(9)10/h3H,1-2,6H2,(H,7,8)(H,9,10)"	"3-aminopentanedioic acid"	-3.9	"101186833;6971072;51037020;51037021;51037022;21115209;73064"	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0324847);NORMAN:(NS00104123);METACYC:(CPD-14555);CHEBI:(28791 66948);SUPERNATURAL:(SN0020981);KEGG:(C05574);MESH:(73064);PUBCHEM:(101186833 6971072 51037020 51037021 51037022 21115209 73064);DSSTox:(DTXSID20375808 DTXSID30173130);LOTUS:(Q27103900);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	137761130854	130.05	370	6.171	695994995728795264	695994672188560128	716	NA	NA	NA	NA	NA	716
"C(C(CC(=O)O)N)C(=O)O"	1	1	"0.228"	"0.370"	-90.74	1	0.281	37	"C5H9NO4"	"[M - H2O + H]+"	"C5H8NO3+"	"BBJIPMIXTXKYLZ"	"InChI=1S/C5H9NO4/c6-3(1-4(7)8)2-5(9)10/h3H,1-2,6H2,(H,7,8)(H,9,10)"	"3-aminopentanedioic acid"	-3.9	"101186833;6971072;51037020;51037021;51037022;21115209;73064"	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0324847);NORMAN:(NS00104123);METACYC:(CPD-14555);CHEBI:(28791 66948);SUPERNATURAL:(SN0020981);KEGG:(C05574);MESH:(73064);PUBCHEM:(101186833 6971072 51037020 51037021 51037022 21115209 73064);DSSTox:(DTXSID20375808 DTXSID30173130);LOTUS:(Q27103900);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	137761130854	130.05	386	6.433	695995064888676352	695994673425879936	752	NA	NA	NA	NA	NA	752
"C(C(CC(C(=O)O)N)F)C(C(=O)O)N"	1	3	"0.611"	"0.600"	-136.993	0.013	0.333	136.49	"C7H13FN2O4"	"[M + H]+"	"C7H14FN2O4+"	"ZDFACBQHCRNYGW"	"InChI=1S/C7H13FN2O4/c8-3(1-4(9)6(11)12)2-5(10)7(13)14/h3-5H,1-2,9-10H2,(H,11,12)(H,13,14)"	"2,6-Diamino-4-fluoroheptanedioic acid"	-5.8	"14608579;14608580"	"PUBCHEM:(14608579 14608580);DSSTox:(DTXSID60562134)"	137438953474	209.092	250	4.168	695994885401818240	695994662738792192	446	NA	NA	NA	NA	NA	446
"C(C(CN)NC(=O)CP(=O)(O)O)C(C(=O)O)N"	1	3	"0.051"	"0.051"	-200.248	0.074	0.101	38.022	"C7H16N3O6P"	"[M - H2O + H]+"	"C7H15N3O5P+"	"AZQDWDSZJWLIQL"	"InChI=1S/C7H16N3O6P/c8-2-4(1-5(9)7(12)13)10-6(11)3-17(14,15)16/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)(H2,14,15,16)"	"delta-N-(phosphonacetyl)-L-ornithine"	-8.6	"126961038;126961039"	"PUBCHEMANNOTATIONBIO;METACYC:(CPD-19529);PUBCHEM:(126961038 126961039)"	16779266	252.073	327	5.452	695994916800379648	695994668568875392	610	NA	NA	NA	NA	NA	610
"C(C(CN)O)C(=O)O"	1	1	"0.737"	"0.837"	-26.162	1	0.333	33.085	"C4H9NO3"	"[M - H2O + H]+"	"C4H8NO2+"	"YQGDEPYYFWUPGO"	"InChI=1S/C4H9NO3/c5-2-3(6)1-4(7)8/h3,6H,1-2,5H2,(H,7,8)"	"4-amino-3-hydroxybutanoic acid"	-4.1	"14625150;6971280;6971281;6971282;5461129;153896761;149431743;2149;2733883"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0061877);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(2149);SUPERNATURAL:(SN0457388);MESH:(2149);PUBCHEM:(14625150 6971280 6971281 6971282 5461129 153896761 149431743 2149 2733883);COCONUT:(CNP0335183);NORMAN:(NS00039462 NS00079381);METACYC:(AMINOBUT-CPD);CHEBI:(11955 16080 57630);KEGG:(C03678);DSSTox:(DTXSID1045877 DTXSID60220409);LOTUS:(Q5520257 Q27275534);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	137832434030	102.055	386	6.429	695995024266840832	695994673492988800	754	NA	NA	NA	NA	NA	754
"C(C(CO)O)C(=O)O"	1	1	"0.588"	"0.611"	-65.373	1	0.5	12.864	"C4H8O4"	"[M - H2O + H]+"	"C4H7O3+"	"DZAIOXUZHHTJKN"	"InChI=1S/C4H8O4/c5-2-3(6)1-4(7)8/h3,5-6H,1-2H2,(H,7,8)"	"3,4-dihydroxybutanoic acid"	-1.6	"22320917;22842605;58067869;11400753;10920498;150929;141198849"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000337);BloodExposome:(150929);LIPIDMAPS:(LMFA01050378 LMFA01050461);SUPERNATURAL:(SN0079332);MESH:(150929 10920498);FooDB:(FDB021961);PUBCHEM:(22320917 22842605 58067869 11400753 10920498 150929 141198849);COCONUT:(CNP0269358);METACYC:(CPD-16714);CHEBI:(86371 137814);DSSTox:(DTXSID501304713 DTXSID70934348 DTXSID80464626);LOTUS:(Q27159112);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	140449417326	103.039	286	4.76	695994895338125056	695994666769518720	558	NA	NA	NA	NA	NA	558
"C(C(CO[N+](=O)[O-])N)O[N+](=O)[O-]"	1	1	"0.006"	"0.007"	-67.114	0.999	0.258	15.597	"C3H7N3O6"	"[M - H2O + H]+"	"C3H6N3O5+"	"WDVJQRDLDFLKHD"	"InChI=1S/C3H7N3O6/c4-3(1-11-5(7)8)2-12-6(9)10/h3H,1-2,4H2"	"1,3-Bis(nitrooxy)prop-2-ylamine"	-0.1	"11852807"	"PUBCHEM:(11852807)"	2	164.03	350	5.831	695995018080242304	695994670330483200	667	NA	NA	NA	NA	NA	667
"C(C#CCO)C(C(=O)O)N"	1	1	"0.020"	"0.020"	-124.184	1	0.295	15.523	"C6H9NO3"	"[M - H2O + H]+"	"C6H8NO2+"	"HAPOKOYCNZZHNP"	"InChI=1S/C6H9NO3/c7-5(6(9)10)3-1-2-4-8/h5,8H,3-4,7H2,(H,9,10)"	"(2R)-2-Amino-6-Hydroxy-4-Hexynoic Acid"	-3.5	"15837542;15837540;15837541"	"COCONUT:(CNP0253353);SUPERNATURAL:(SN0120364);PUBCHEM:(15837542 15837540 15837541);DSSTox:(DTXSID60578755);LOTUS:(Q77386392)"	137710534658	126.055	256	4.262	695994894440544000	695994663544098560	465	NA	NA	NA	NA	NA	465
"C(C=C(C(=O)N)N)C(=O)O"	1	1	"0.131"	"0.131"	-145.633	1	0.332	16.27	"C5H8N2O3"	"[M - H2O + H]+"	"C5H7N2O2+"	"IXTLINSBWSEZQS"	"InChI=1S/C5H8N2O3/c6-3(5(7)10)1-2-4(8)9/h1H,2,6H2,(H2,7,10)(H,8,9)"	"(E)-4,5-diamino-5-oxopent-3-enoic acid"	-1.4	"121225565"	"PUBCHEMANNOTATIONBIO;PUBCHEM:(121225565)"	16777218	127.051	331	5.522	695994896353146752	695994669126717824	629	NA	NA	NA	NA	NA	629
"C(C=CC#CC#CC=CC(=O)O)O"	1	1	"0.033"	"0.033"	-115.206	0.999	0.333	66.556	"C10H8O3"	"[M + H3N + H]+"	"C10H12NO3+"	"AJSNUBLNFVLJEB"	"InChI=1S/C10H8O3/c11-9-7-5-3-1-2-4-6-8-10(12)13/h5-8,11H,9H2,(H,12,13)"	"10-hydroxydeca-2,8-dien-4,6-diynoic acid"	0.8	"20843266;20843267;131751124;73719283"	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0184102);HMDB:(HMDB0031054);CHEBI:(173809 179284 179286);LIPIDMAPS:(LMFA01030707 LMFA01030708 LMFA01030709);SUPERNATURAL:(SN0007441);PUBCHEM:(20843266 20843267 131751124 73719283);PUBCHEMANNOTATIONDRUG:(null)"	2200961066	194.081	167	2.781	695994778577082496	695994654979328896	223	NA	NA	NA	NA	NA	223
"C(C=CCC(C(=O)O)N)C(C(=O)O)N"	1	2	"0.057"	"0.095"	-147.06	0.246	0.996	89.452	"C8H14N2O4"	"[M + Na]+"	"C8H14N2NaO4+"	"BFXNXODAMRCMKX"	"InChI=1S/C8H14N2O4/c9-5(7(11)12)3-1-2-4-6(10)8(13)14/h1-2,5-6H,3-4,9-10H2,(H,11,12)(H,13,14)"	"2,7-diaminooct-4-enedioic acid"	-5.7	"4173620;5293024;154423059;7044569;7044570;7291181;7291182;7291185;7291186;6028059;10598710;3891675;90205978;57302333"	"COCONUT:(CNP0394036);SUPERNATURAL:(SN0024415);PUBCHEM:(4173620 5293024 154423059 7044569 7044570 7291181 7291182 7291185 7291186 6028059 10598710 3891675 90205978 57302333)"	3145730	225.085	197	3.276	695994819899369216	695994658313800832	313	NA	NA	NA	NA	NA	313
"C(C=O)NC(=O)CNC(=O)CN"	1	1	"0.016"	"0.016"	-265.769	1	0.333	70.71	"C6H11N3O3"	"[M - H2O + H]+"	"C6H10N3O2+"	"RRUCHHPCCXAUEE"	"InChI=1S/C6H11N3O3/c7-3-5(11)9-4-6(12)8-1-2-10/h2H,1,3-4,7H2,(H,8,12)(H,9,11)"	"2-amino-N-[2-oxo-2-(2-oxoethylamino)ethyl]acetamide"	-2.568	"448212"	"PUBCHEMANNOTATIONBIO:(null);BloodExposome:(448212);PUBCHEM:(448212)"	20971522	156.077	335	5.589	695994898261555200	695994669428707840	639	NA	NA	NA	NA	NA	639
"C(C1(C(C2C(C(C1O)N)NC(NC2O)N)O)O)O"	1	1	"0.016"	"0.016"	-858.377	0.999	0.333	60.303	"C9H20N4O5"	"[M - H2O + H]+"	"C9H19N4O4+"	"BFAQBVARSQRFCF"	"InChI=1S/C9H20N4O5/c10-3-4-2(7(17)13-8(11)12-4)5(15)9(18,1-14)6(3)16/h2-8,12-18H,1,10-11H2"	NA	-5	"163120079;163120080"	"COCONUT:(CNP0439027);SUPERNATURAL:(SN0023751);PUBCHEM:(163120079 163120080)"	3145730	247.141	370	6.168	695995038695246976	695994672066925312	714	NA	NA	NA	NA	NA	714
