structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	0.277	0.555	-103.265	0.680	0.333	148.109	C12H24N2O3	[M - H2O + H]+	C12H23N2O2+	IWENLYKHSZCPRD	InChI=1S/C12H24N2O3/c13-9-5-1-3-7-11(15)14-10-6-2-4-8-12(16)17/h1-10,13H2,(H,14,15)(H,16,17)	6-(6-Aminohexanamido)hexanoic acid	C(CCC(=O)NCCCCCC(=O)O)CCN	-2.100	5245705;5460073;895;57981353	PUBCHEMANNOTATIONBIO;NORMAN:(NS00112898);METACYC:(N-6-AMINOHEXANOYL-6-AMINOHEXANOATE);CHEBI:(58798 78629 16780 49255);LIPIDMAPS:(LMFA00000009);KEGG:(C20988 C01255);PUBCHEM:(5245705 5460073 895 57981353);DSSTox:(DTXSID00274289);PUBCHEMANNOTATIONDRUG;PUBMED	139637033314	227.176	93	1.555	695994774701545385	695994641486252032	14	
1	1	0.034	0.034	-289.288	0.996	0.333	93.082	C13H21NO5	[M - H2O + H]+	C13H20NO4+	UVWIFKMZBFIVGF	InChI=1S/C13H21NO5/c1-8(14-10(17)19-11(2,3)4)13-5-12(6-13,7-18-13)9(15)16/h8H,5-7H2,1-4H3,(H,14,17)(H,15,16)	1-(1-{[(Tert-butoxy)carbonyl]amino}ethyl)-2-oxabicyclo[2.1.1]hexane-4-carboxylic acid	CC(C12CC(C1)(CO2)C(=O)O)NC(=O)OC(C)(C)C	0.700	145867344	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(145867344)	67108866	254.137	95	1.577	695994776551233542	695994641641441288	16	
1	2	0.041	0.041	-128.653	0.356	0.333	131.634	C11H16O3	[M + H3N + H]+	C11H20NO3+	SSSYMZDZKBTBDM	InChI=1S/C11H16O3/c1-3-5-7-10(12)8-9(6-4-2)11(13)14/h3,5-7,10,12H,1,4,8H2,2H3,(H,13,14)	Berkedienoic Acid	CCC=C(CC(C=CC=C)O)C(=O)O	2.000	163012337;163012335;163012336;76530720;101563977;57379198	COCONUT:(CNP0287680);SUPERNATURAL:(SN0354305);PUBCHEM:(163012337 163012335 163012336 76530720 101563977 57379198);LOTUS:(Q75067435)	271581186	214.144	95	1.577	695994777729833058	695994641586915332	15	
1	1	0.361	0.361	-111.984	0.992	0.500	53.484	C16H35NO3	[M + H]+	C16H36NO3+	CNHOQYUFYNZEBZ	InChI=1S/C16H35NO3/c1-2-3-4-5-6-7-8-9-10-17(11-13-18)12-15-20-16-14-19/h18-19H,2-16H2,1H3	Peg-3 capramine	CCCCCCCCCCN(CCO)CCOCCO	3.200	13802588	PUBCHEM:(13802588)	2	290.270	95	1.579	695994772746999510	695994641729521676	17	
1	1	0.851	0.851	-16.438	0.999	0.326	53.405	C6H6N2O2	[M + H]+	C6H7N2O2+	LOIYMIARKYCTBW	InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)	Urocanic Acid	C1=C(NC=N1)C=CC(=O)O	0.000	5460052;5460648;5461073;736715;1549103;1178;133698976;71310808	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000301 HMDB0062562);MiMeDB:(MMDBc0000697 MMDBc0000830 MMDBc0010880);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(1178 5460052 736715 1549103);SUPERNATURAL:(SN0211016);MESH:(736715);FooDB:(FDB000921 FDB007506 FDB012465);PUBCHEM:(5460052 5460648 5461073 736715 1549103 1178 133698976 71310808);COCONUT:(CNP0254048);NORMAN:(NS00014985);METACYC:(ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT UROCANATE);CHEBI:(27248 30819 17771 27247 30817 30818);KEGG:(C00785);DSSTox:(DTXSID5041148 DTXSID50859181 DTXSID901316398);LOTUS:(Q30536 Q60998685);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	139443046766	139.050	96	1.598	695994773149652761	695994641788241936	18	
1	1	0.749	0.749	-29.599	1.000	0.333	20.174	C6H6N2O2	[M - H2O + H]+	C6H5N2O+	LOIYMIARKYCTBW	InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)	Urocanic Acid	C1=C(NC=N1)C=CC(=O)O	0.000	5460052;5460648;5461073;736715;1549103;1178;133698976;71310808	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000301 HMDB0062562);MiMeDB:(MMDBc0000697 MMDBc0000830 MMDBc0010880);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(1178 5460052 736715 1549103);SUPERNATURAL:(SN0211016);MESH:(736715);FooDB:(FDB000921 FDB007506 FDB012465);PUBCHEM:(5460052 5460648 5461073 736715 1549103 1178 133698976 71310808);COCONUT:(CNP0254048);NORMAN:(NS00014985);METACYC:(ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT UROCANATE);CHEBI:(27248 30819 17771 27247 30817 30818);KEGG:(C00785);DSSTox:(DTXSID5041148 DTXSID50859181 DTXSID901316398);LOTUS:(Q30536 Q60998685);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	139443046766	121.040	96	1.598	695994773040600836	695994641846962196	19	
1	2	0.130	0.130	-95.415	0.213	0.500	59.137	C12H24O	[M + H3N + H]+	C12H28NO+	QRDZETOZNQTTCN	InChI=1S/C12H24O/c1-10(2)7-6-8-11(3)9-12(4,5)13/h7,11,13H,6,8-9H2,1-5H3	2,4,8-trimethylnon-7-en-2-ol	CC(CCC=C(C)C)CC(C)(C)O	3.800	14614417;14614418;76971921	PUBCHEMANNOTATIONBIO;COCONUT:(CNP0103457);HMDB:(HMDB0032543);CHEBI:(188964);SUPERNATURAL:(SN0312992);FooDB:(FDB010419);PUBCHEM:(14614417 14614418 76971921);DSSTox:(DTXSID60963107);PUBCHEMANNOTATIONDRUG;PUBCHEMANNOTATIONFOOD	138163519530	202.217	97	1.612	695994771492902539	695994641964402716	21	
1	1	0.193	0.193	-272.538	1.000	1.000	24.804	C44H84NO8P	[M + H]+	C44H85NO8P+	ASKAFYPATPMUAD	InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h18-21,42H,6-17,22-41H2,1-5H3/p+1	2,3-bis[[(E)-octadec-10-enoyl]oxy]propyl 2-(trimethylazaniumyl)ethyl phosphate	CCCCCCCC=CCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC=CCCCCCCC	13.800	5313420;5313421;24778889;24778890	LIPIDMAPS:(LMGP01010836);PUBCHEM:(5313420 5313421 24778889 24778890);LIPID:(PC(18:1_18:1))	6442450946	786.601	98	1.626	695994772046550716	695994642065066016	22	
1	1	0.053	0.053	-125.738	1.000	0.333	71.455	C6H15NO3	[M - H2O + H]+	C6H14NO2+	LPIIQHWIYLSAIJ	InChI=1S/C6H16NO3/c1-7(2,3)4-5-9-10-6-8/h8H,4-6H2,1-3H3/q+1	2-(Hydroxymethylperoxy)ethyl-trimethylazanium	C[N+](C)(C)CCOOCO	-0.400	87313723	PUBCHEM:(87313723)	2	132.102	98	1.630	695994771358684801	695994642119591972	23	
1	1	0.845	0.845	-24.541	1.000	0.500	64.866	C12H27NO2	[M + H]+	C12H28NO2+	QZQNMMLYACBCMJ	InChI=1S/C12H27NO2/c1-2-3-4-5-6-7-8-13(9-11-14)10-12-15/h14-15H,2-12H2,1H3	Ethanol, 2,2'-(octylimino)bis-	CCCCCCCCN(CCO)CCO	2.300	84963	NORMAN:(NS00019705);PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(84963);DSSTox:(DTXSID3065906)	137506324482	218.212	99	1.653	695994771606148753	695994642220255272	24	
1	1	0.168	0.168	-381.287	1.000	1.000	22.648	C44H82NO8P	[M + H]+	C44H83NO8P+	BXRLDROZWDUSGM	InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h20-23,27,29,42H,6-19,24-26,28,30-41H2,1-5H3/p+1		CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCC=CCC=CCCCCCCCC	13.200	5313477;5313478;134722800;134722799;156963588;156963589;24778937;24778938	HMDB:(HMDB0256161);BloodExposome:(24778937);CHEBI:(84831);LIPIDMAPS:(LMGP01010893);SUPERNATURAL:(SN0038294);PUBCHEM:(5313477 5313478 134722800 134722799 156963588 156963589 24778937 24778938);LOTUS:(Q27158100);PUBMED	2421162090	784.586	99	1.657	695994772096882365	695994642283169836	25	
1	2	0.012	0.014	-486.239	0.026	0.423	19.120	C44H82O8	[M + Na]+	C44H82NaO8+	ALGBNHRRVXVWDX	InChI=1S/C44H82O8/c1-3-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-26-30-43(49)51-35-38(46)36-52-44(50)31-27-23-22-25-29-39-40(42(48)34-41(39)47)33-32-37(45)28-24-6-4-2/h32-33,37-42,45-48H,3-31,34-36H2,1-2H3	DG(21:0/0:0/PGF1alpha)	CCCCCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC1C(CC(C1C=CC(CCCCC)O)O)O)O	13.100	157004740;157004741	HMDB:(HMDB0296633 HMDB0296634);PUBCHEM:(157004740 157004741)	10	761.588	102	1.697	695994797954768850	695994642488690736	26	
1	1	0.123	0.123	-333.461	1.000	1.000	14.335	C42H82NO8P	[M + H]+	C42H83NO8P+	DKIULVMMIRHYHM	InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43(3,4)5)51-42(45)35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h19,21,40H,6-18,20,22-39H2,1-5H3/p+1	[3-heptadecanoyloxy-2-[(Z)-heptadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCC	13.700	134727000;134727001;52922487;52922488;138144387;138144388	CHEBI:(178451);LIPIDMAPS:(LMGP01011503);PUBCHEM:(134727000 134727001 52922487 52922488 138144387 138144388)	2147483682	760.584	102	1.697	695994801377321371	695994642547410996	27	
1	1	0.315	0.315	-282.829	1.000	1.000	12.479	C42H80NO8P	[M + H]+	C42H81NO8P+	RXPVDHQFHIMZPN	InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43(3,4)5)51-42(45)35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h18-21,40H,6-17,22-39H2,1-5H3/p+1	2,3-bis[[(Z)-heptadec-9-enoyl]oxy]propyl 2-(trimethylazaniumyl)ethyl phosphate	CCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCC	12.800	5313319;134765559;134765560;10190680;10190681;138257442;138257443;24778803	PUBCHEMANNOTATIONBIO:(null);CHEBI:(179019);LIPIDMAPS:(LMGP01010728);PUBCHEM:(5313319 134765559 134765560 10190680 10190681 138257442 138257443 24778803)	2164260898	758.570	102	1.699	695994779441109284	695994642765514808	28	
1	1	0.907	0.907	-92.740	0.999	0.333	63.012	C9H19NO4	[M - H2O + H]+	C9H18NO3+	SNPLKNRPJHDVJA	InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)	Panthenol	CC(C)(CO)C(C(=O)NCCCO)O	-0.900	154731314;163322579;5748487;153710400;54315096;4678;131204;141047769	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0004231 HMDB0304820);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(4678 131204);LIPIDMAPS:(LMFA08020198);SUPERNATURAL:(SN0350407);HSDB:(81-13-0);MESH:(4678 131204);FooDB:(FDB008430);PUBCHEM:(154731314 163322579 5748487 153710400 54315096 4678 131204 141047769);COCONUT:(CNP0144183);NORMAN:(NS00000985 NS00076665);METACYC:(PANTOTHENOL);CHEBI:(27373);KEGG:(C05944);DSSTox:(DTXSID3022906 DTXSID3044598);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)	140382571374	188.128	102	1.705	695994773770409847	695994642971035716	31	
1	2	0.934	0.934	-7.863	0.038	0.333	124.610	C9H19NO4	[M + H]+	C9H20NO4+	SNPLKNRPJHDVJA	InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)	Panthenol	CC(C)(CO)C(C(=O)NCCCO)O	-0.900	154731314;163322579;5748487;153710400;54315096;4678;131204;141047769	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0004231 HMDB0304820);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(4678 131204);LIPIDMAPS:(LMFA08020198);SUPERNATURAL:(SN0350407);HSDB:(81-13-0);MESH:(4678 131204);FooDB:(FDB008430);PUBCHEM:(154731314 163322579 5748487 153710400 54315096 4678 131204 141047769);COCONUT:(CNP0144183);NORMAN:(NS00000985 NS00076665);METACYC:(PANTOTHENOL);CHEBI:(27373);KEGG:(C05944);DSSTox:(DTXSID3022906 DTXSID3044598);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)	140382571374	206.139	102	1.705	695994776257632221	695994643042338888	32	
1	2	0.311	0.311	-26.762	0.465	0.098	65.589	C9H4O	[M + H3N + H]+	C9H8NO+	KWBAKNPXKOVCKH	InChI=1S/C9H4O/c10-9-6-5-7-3-1-2-4-8(7)9/h1-4H	2,3-Didehydroinden-1-one	C1=CC=C2C(=C1)C#CC2=O	2.000	140205119	PUBCHEM:(140205119)	2	146.060	103	1.724	695994802270708266	695994643130419276	33	
1	4	0.174	0.174	-174.610	0.011	0.002	105.810	C15H23NO6	[M - H2O + H]+	C15H22NO5+	GLOMHRXTBJVWKY	InChI=1S/C15H23NO6/c1-10(4-3-5-11(2)14(19)20)8-9-16-12(15(21)22)6-7-13(17)18/h5,8,12,16H,3-4,6-7,9H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)	7'-carboxy-N-geranyl-L-gluatamic acid	CC(=CCNC(CCC(=O)O)C(=O)O)CCC=C(C)C(=O)O	-0.900	145740390;145740391;145865079	METACYC:(CPD-22489);CHEBI:(172366);PUBCHEM:(145740390 145740391 145865079);PUBCHEMANNOTATIONDRUG;PUBMED	33556578	296.149	104	1.738	695994798730715224	695994643189139536	34	
1	1	0.176	0.250	-313.370	1.000	1.000	23.162	C40H78NO8P	[M + H]+	C40H79NO8P+	RYABNSUEFJAHQL	InChI=1S/C40H78NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-40(43)49-38(37-48-50(44,45)47-35-34-41(3,4)5)36-46-39(42)32-30-28-26-24-22-19-17-15-13-11-9-7-2/h18,20,38H,6-17,19,21-37H2,1-5H3/p+1	[2-[(Z)-heptadec-9-enoyl]oxy-3-pentadecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	CCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCC	12.600	134765598;134765599;52922308;52922309;138257590;138257591	PUBCHEMANNOTATIONBIO:(null);LIPIDMAPS:(LMGP01011413);PUBCHEM:(134765598 134765599 52922308 52922309 138257590 138257591)	2164260866	732.553	105	1.750	695994773954959230	695994643482740824	36	
1	1	0.285	0.440	-278.860	1.000	1.000	14.692	C40H76NO8P	[M + H]+	C40H77NO8P+	GPWHCUUIQMGELX	InChI=1S/C40H76NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h16-19,38H,6-15,20-37H2,1-5H3/p+1	[(2R)-2,3-di(hexadec-9-enoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate	CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCC	11.700	5313274;5313275;5313276;5313277;53851080;10032848;10462648;131879552;24778763;24778764	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0008002);MiMeDB:(MMDBc0033276);BloodExposome:(24778764);LIPIDMAPS:(LMGP01010682 LMGP01010684);SUPERNATURAL:(SN0112196);FooDB:(FDB025193);PUBCHEM:(5313274 5313275 5313276 5313277 53851080 10032848 10462648 131879552 24778763 24778764);GNPS:(CCMSLIB00003138226 CCMSLIB00003136424);CHEBI:(83717 84798);DSSTox:(DTXSID501334823);YMDB:(YMDB01185);PUBCHEMANNOTATIONDRUG:(null);LIPID:(PC(16:1_16:1));PUBMED:(null)	145547661418	730.539	106	1.762	695994772281431749	695994643734399068	37	
1	1	0.195	0.358	-144.203	0.786	0.500	48.094	C14H28O3	[M + H3N + H]+	C14H32NO3+	JYZJYKOZGGEXSX	InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-12-13(15)14(16)17/h13,15H,2-12H2,1H3,(H,16,17)	2-hydroxytetradecanoic acid	CCCCCCCCCCCCC(C(=O)O)O	5.300	22292715;22298950;53982154;91825664;656737;1563	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0002261);MiMeDB:(MMDBc0000588 MMDBc0054834 MMDBc0054863);LIPIDMAPS:(LMFA01050001 LMFA01050484);SUPERNATURAL:(SN0179139);MESH:(1563 22292715);FooDB:(FDB022931);PUBCHEM:(22292715 22298950 53982154 91825664 656737 1563);COCONUT:(CNP0115920);NORMAN:(NS00045202 NS00102426);METACYC:(B-LARA-PEN-1:5 CPD-8471);CHEBI:(85637 84335 85934 59270 85636 34314 85937);KEGG:(C13790);DSSTox:(DTXSID10862974);LOTUS:(Q105137305 Q27126580);PUBCHEMANNOTATIONDRUG;PUBMED	141519227246	262.238	106	1.772	695994785107614565	695994643839256672	38	
1	1	0.214	0.248	-300.182	1.000	1.000	15.469	C38H74NO8P	[M + H]+	C38H75NO8P+	UHVRLTWCSMRCPO	InChI=1S/C38H74NO8P/c1-6-8-10-12-14-15-16-17-18-19-20-21-22-23-25-27-29-31-38(41)47-36(35-46-48(42,43)45-33-32-39(3,4)5)34-44-37(40)30-28-26-24-13-11-9-7-2/h17-18,36H,6-16,19-35H2,1-5H3/p+1	[3-decanoyloxy-2-[(Z)-icos-11-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	CCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC=CCCCCCCCC	11.500	134770327;134770328;138271276;138271277	MiMeDB:(MMDBc0045383);PUBCHEM:(134770327 134770328 138271276 138271277)	1073741826	704.524	108	1.799	695994798860738664	695994644028000360	40	
